title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Applied Mergers and Acquisitions Workbook,471395854,9780471395850,1.68,3.98,2,7.66
"Mergers, Acquisitions, and Other Restructuring Activities: An Integrated Approach to Process, Tools, Cases, and Solutions",128016094,9780128016091,70.02,4.99,2,77.01
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,41.95,3.99,2,47.94
Moral Mazes: The World of Corporate Managers,199729883,9780199729883,5.43,3.99,2,11.42
Due Diligence Techniques and Analysis: Critical Questions for Business Decisions,313361037,9780313361036,16.99,3.99,2,22.98
The Strongest Link: Forging a Profitable and Enduring Corporate Alliance,814407439,9780814407431,28.44,3.99,2,34.43
Mergers and Acquisitions: Text and Cases (The Ivey Casebook Series),1412941040,9781412941044,15.01,5.29,2,22.3
"Mergers, Acquisitions, and Corporate Restructurings (Wiley Corporate F&A)",1119380766,9781119380764,53.65,3.99,2,59.64
Commercial Due Diligence: The Key to Understanding Value in an Acquisition,566086514,9780566086519,211.73,0,2,213.73
Art of M&A: Financing and Refinancing,70383030,9780070383036,29.66,5.37,2,37.03
Mergers & Acquisitions: The Essentials (Essentials Series) (Essentials (Wolters Kluwer)),735583692,9780735583696,5.0,3.99,2,10.99
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions",470442204,35222222435,12.47,4.49,2,18.96
How to Buy and/or Sell a Small Business for Maximum  Profit -- A Step-by-Step Guide: With Companion CD-ROM,910627533,9780910627535,4.99,0,2,6.99
Victorian Literature: 1830-1900,155071777,9780155071773,14.98,3.99,2,20.97
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,14.1,3.99,2,20.09
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,24.5,6.77,2,33.27
A Brief History of English Literature,1137352663,9781137352668,21.75,6.47,2,30.22
The Cambridge Companion to the Victorian Novel (Cambridge Companions to Literature),521182158,9780521182157,24.49,0,2,26.49
Suffer and Be Still: Women in the Victorian Age,253201683,9780253201683,1.99,3.96,2,7.95
The Longman Companion to Victorian Fiction,1408203901,9781408203903,30.29,5.99,2,38.28
Strange and Secret Peoples: Fairies and Victorian Consciousness,195144112,9780195144116,21.72,4.49,2,28.21
Purity and Contamination in Late Victorian Detective Fiction,754668134,9780754668138,19.97,3.99,2,25.96
"The Broadview Anthology of Victorian Prose, 1832-1901",1551118602,9781551118604,4.56,3.99,2,10.55
Victorian Poetry: An Annotated Anthology,631234365,9780631234364,6.12,3.99,2,12.11
Victorian Literature and Postcolonial Studies (Postcolonial Literary Studies),748633049,9780748633043,13.64,3.99,2,19.63
"Amy Beach, Passionate Victorian: The Life and Work of an American Composer, 1867-1944",195074084,9780195074086,11.73,3.99,2,17.72
Principles of Operations Management: Sustainability and Supply Chain Management (10th Edition),134181980,9780134181981,107.99,4.99,2,114.98
Supply Chain Management: A Logistics Perspective,1305859979,9781305859975,93.02,3.99,2,99.01
"The Applied Business Analytics Casebook: Applications in Supply Chain Management, Operations Management, and Operations Research (FT Press Analytics)",133407365,9780133407365,58.75,3.99,2,64.74
Operations Management,470325046,9780470325049,20.94,3.99,2,26.93
Operations Management: Processes and Supply Chains (10th Edition),132807394,9780132807395,12.75,5.35,2,20.1
"Today's White-Collar Crime: Legal, Investigative, and Theoretical Perspectives (Criminology and Justice Studies)",415996112,9780415996112,26.24,3.99,2,32.23
Gangs in America′s Communities,1483379728,9781483379722,19.3,3.95,2,25.25
Gangs: An Individual and Group Perspective,131724045,9780131724044,9.98,3.99,2,15.97
Operations Management in the Supply Chain: Decisions and Cases (McGraw-Hill/Irwin Series in Operations and Decision Sciences),73525243,9780073525242,19.79,3.99,2,25.78
"Jackpot: High Times, High Seas, And The Sting That Launched The War On Drugs",762780304,9780762780303,10.91,3.99,2,16.9
Organized Crime in Our Times,1437744532,9781437744538,6.23,5.47,2,13.7
Traction: Get a Grip on Your Business,1936661845,9781936661848,4.99,4.49,2,11.48
Operations Management: Processes and Supply Chains (12th Edition) (What's New in Operations Management),134741064,9780134741062,185.97,3.69,2,191.66
Confessions of a Second Story Man: Junior Kripplebauer and the K & A Gang,1569804990,9781569804995,10.66,3.99,2,16.65
At the Devil's Table: The Untold Story of the Insider Who Brought Down the Cali Cartel,1400068371,9781400068371,13.09,5.02,2,20.11
"OM (with OM Online, 1 term (6 months) Printed Access Card)",1305664795,9781305664791,36.71,3.99,2,42.7
"Supply Chain Management: Strategy, Planning, and Operation (7th Edition) (What's New in Operations Management)",134731883,9780134731889,465.35,3.99,2,471.34
"Whiteout: The CIA, Drugs and the Press",1859842585,9781859842584,9.5,3.99,2,15.49
"Project Management: A Systems Approach to Planning, Scheduling, and Controlling",1119165350,9781119165354,49.1,3.99,2,55.09
Information Technology Project Management,1285452348,9781285452340,51.5,6.02,2,59.52
"Information Technology Project Management, Revised",1285847091,9781285847092,18.0,5.62,2,25.62
Blue Helmets and Black Markets: The Business of Survival in the Siege of Sarajevo,801443555,9780801443558,10.95,0,2,12.95
Operations Management Flexible Version (10th Edition),132163926,9780132163927,24.67,5.21,2,31.88
