title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Essential Study Skills (MindTap Course List),1285430093,9781285430096,36.67,3.99,2,42.66
Writing Analytically,1337559466,9781337559461,63.0,3.99,2,68.99
Welcome to Church Music & The Hymnal 1982,0819229423,9780819229427,20.2,3.99,2,26.19
Oxford Textbook of Palliative Medicine,0199656096,9780199656097,167.6,0,2,169.6
Pattern Cutting for Women's Tailored Jackets: Classic and Contemporary,0632054670,9780632054671,33.76,3.99,2,39.75
Becoming a Master Student (MindTap Course List),1337097101,9781337097109,69.94,0,2,71.94
Network Management: Principles and Practices (2nd Edition),8131734048,9788131734049,81.66,3.94,2,87.6
Napoleon: A Symbol for an Age: A Brief History with Documents (The Bedford Series in Istory and Culture),0312431104,9780312431105,4.0,3.99,2,9.99
"The Revolutionary Era, 1789-1850 (The Norton History of Modern Europe)",0393978605,9780393978605,14.99,4.91,2,21.9
Gronlund's Writing Instructional Objectives (8th Edition),0131755935,9780131755932,35.15,3.99,2,41.14
"Children's Literature, Briefly (5th Edition)",0132480565,0000132480565,18.98,3.99,2,24.97
Napoleon,0582437520,9780582437524,3.28,4.84,2,10.12
"Integrated Chinese: Level 2, Part 1 (Simplified and Traditional Character) Textbook (Chinese Edition) (Chinese and English Edition)",0887276792,9780887276798,39.65,5.54,2,47.19
Principles and Practice of Palliative Care and Supportive Oncology,145112127X,9780443073250,37.06,3.99,2,43.05
Progressive Sight Singing,0195178475,9780195178470,16.13,3.99,2,22.12
"Modern Industrial Electronics, Fifth Edition",0130487414,9780130487414,47.99,3.99,2,53.98
"On Course, Study Skills Plus Edition (Textbook-specific CSFI)",1439085226,9781439085226,5.26,0,2,7.26
Evidence-Based Practice of Palliative Medicine: Expert Consult: Online and Print,143773796X,9781437737967,74.9,3.99,2,80.89
Reaching Your Potential: Personal and Professional Development (Textbook-specific CSFI),1435439732,9781435439733,17.82,3.95,2,23.77
Foodservice Organizations: A Managerial and Systems Approach (5th Edition),0130486892,9780130486899,1.45,4.89,2,8.34
Student Success in College: Doing What Works! (MindTap Course List),1285852176,9781285852171,8.6,3.99,2,14.59
Advanced Practice Palliative Nursing,0190204745,9780190204747,68.0,3.99,2,73.99
Guide to UNIX Using Linux (Networking (Course Technology)),1418837237,9781418837235,33.43,5.1,2,40.53
The College Experience Compact (2nd Edition),0321980026,9780321980021,12.02,3.99,2,18.01
"Battered Women and Their Families: Intervention Strategies and Treatment Programs, Third Edition (Springer Series on Family Violence)",0826145922,9780826145925,20.0,3.99,2,25.99
Genki: An Integrated Course in Elementary Japanese Workbook I [Second Edition] (Japanese Edition) (Japanese and English Edition),478901441X,9784789014410,21.46,8.0,2,31.46
The Handbook of Technical Writing,1457675528,9781457675522,39.55,3.98,2,45.53
"Palliative Care Nursing, Fourth Edition: Quality Care to the End of Life",0826196357,9780826196354,41.0,3.99,2,46.99
Aproximaciones al estudio de la literatura hispánica,0073385379,9780073385372,41.48,3.99,2,47.47
"Practical Guide to Patternmaking for Fashion Designers: Juniors, Misses and Women",1563673282,9781563673283,51.99,0,2,53.99
"The Hodges Harbrace Handbook, 18th Edition",1111346704,9781111346706,7.12,3.99,2,13.11
The Return of Martin Guerre,0674766911,9780674766914,8.0,3.99,2,13.99
VCR Troubleshooting and Repair,075069940X,9780750699402,9.24,0,2,11.24
"Electronic Troubleshooting, Fourth Edition",0071819908,9780071819909,13.86,3.99,2,19.85
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553,49.04,3.99,2,55.03
"Writing Research Papers: A Complete Guide, 15th Edition",0321952952,9780321952950,34.0,5.01,2,41.01
Mosby's Textbook for Nursing Assistants - Soft Cover Version,0323009247,9780323009249,6.79,0,2,8.79
Comprehensive Textbook of Suicidology,157230541X,9781572305410,21.55,4.49,2,28.04
Tonal Harmony,125944709X,9781259447099,131.01,3.99,2,137.0
Textbook of Palliative Medicine and Supportive Care,1444135252,9781444135251,127.5,0,2,129.5
"The Upholsterer's Pocket Reference Book: Materials, Measurements, Calculations",0946819718,9780946819713,2.74,3.99,2,8.73
Hospice and Palliative Care: The Essential Guide,0415993563,9780415993562,16.8,0,2,18.8
Hearing Form - Textbook and Anthology Pack: Musical Analysis With and Without the Score,1138900699,9781138900691,95.62,3.94,2,101.56
Punto y aparte (Spanish) Standalone Book,0078037050,9780078037054,35.92,3.99,2,41.91
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767,15.45,3.99,2,21.44
"The Architecture of Computer Hardware, Systems Software, and Networking: An Information Technology Approach",1118322630,9781118322635,39.95,3.99,2,45.94
Social and Personality Development,0495600385,9780495600381,41.93,3.99,2,47.92
"Yookoso! An Invitation to Contemporary Japanese, Third Edition",0072408154,9780072408157,61.99,3.99,2,67.98
"Computer Vision: Principles, Algorithms, Applications, Learning",012809284X,9780128092842,78.13,3.99,2,84.12
Ms. Marvel Volume 1: No Normal,078519021X,8601421073080,2.89,4.49,2,9.38
Milady Standard Esthetics: Fundamentals (MindTap Course List),1111306893,9781111306892,92.51,4.99,2,99.5
Oxford Textbook of Palliative Nursing (Oxford Textbooks in Palliative Medicine),0199332347,9780199332342,76.98,3.99,2,82.97
Rules for Writers,1457683040,9781457683046,24.43,3.99,2,30.42
Network Security Essentials: Applications and Standards (6th Edition),013452733X,9780134527338,52.68,3.99,2,58.67
Data Communications and Computer Networks: A Business User's Approach,1305116631,9781305116634,66.54,3.99,2,72.53
"DeLee & Drez's Orthopaedic Sports Medicine: 2-Volume Set (DeLee, DeLee and Drez's Orthopaedic Sports Medicine)",1455743763,9781455743766,196.99,0,2,198.99
Schematic Wiring a Step-By-Step Guide,0912524669,9780912524665,241.65,3.99,2,247.64
The First Prejudice: Religious Tolerance and Intolerance in Early America (Early American Studies),0812223144,9780812223149,13.03,3.99,2,19.02
African Muslims in Antebellum America: Transatlantic Stories and Spiritual Struggles,0415912709,9780415912709,5.47,3.99,2,11.46
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711,11.99,3.99,2,17.98
DeGarmo's Materials and Processes in Manufacturing,0470924675,8601400071953,28.57,3.99,2,34.56
The Blessings of Liberty: A Concise History of the Constitution of the United States,1442259922,9781442259928,50.44,3.99,2,56.43
"Revolution in Virginia, with a new Foreword",0879352337,9780879352332,11.41,3.99,2,17.4
Colonial and Revolutionary America,0205809693,9780205809691,60.87,3.99,2,66.86
Elements of Crisis Intervention: Crisis and How to Respond to Them (HSE 225 Crisis Intervention),0495007811,9780495007814,57.65,3.19,2,62.84
"Red, White, and Black: The Peoples of Early North America (5th Edition)",013193550X,9780131935501,12.21,3.98,2,18.19
These Fiery Frenchified Dames: Women and Political Culture in Early National Philadelphia (Early American Studies),0812217772,9780812217773,13.74,3.99,2,19.73
In My Power: Letter Writing and Communications in Early America (Early American Studies),0812221818,9780812221817,15.0,3.99,2,20.99
"Major Problems in the Era of the American Revolution, 1760-1791: Documents and Essays (Major Problems in American History Series)",0395903440,9780395903445,18.11,3.99,2,24.1
Ven Conmigo!: Holt Spanish Level 1 (Spanish Edition)[BOOK ONLY],0030565898,9780030565892,3.95,3.99,2,9.94
"It's All for the Kids: Gender, Families, and Youth Sports",0520257103,0884566083222,1.99,3.99,2,7.98
"The Triumph of Individual Style : A Guide to Dressing Your Body, Your Beauty, Your Self",1563672693,9781563672699,62.89,4.49,2,69.38
Substance Abuse Prevention: The Intersection of Science and Practice,0205341624,9780205341627,56.11,3.89,2,62.0
Policing Domestic Violence (Blackstone's Practical Policing),0199236747,9780199236749,54.54,3.99,2,60.53
"Crisis Intervention Strategies, 6th Edition",0495100269,9780495100263,2.68,3.99,2,8.67
Continuing the War Against Domestic Violence,1482229102,9781482229103,66.76,0,2,68.76
"Piazza (with iLrn Heinle Learning Center, 4 terms (24 months) Printed Access Card) (World Languages)",1285074815,9781285074818,35.46,3.99,2,41.45
Social Work and Domestic Violence: Developing Critical and Reflective Practice,1412919231,9781412919234,30.73,3.99,2,36.72
School Counseling for the 21st Century (5th Edition),0131890379,9780131890374,1.55,3.99,2,7.54
Workbook/Study Guide I (Lessons 1-26) to accompany Destinos: An Introduction to Spanish,0070020728,9780070020726,9.47,4.85,2,16.32
A Guide to Crisis Intervention (MindTap Course List),1337566411,9781337566414,70.84,3.99,2,76.83
"Reading and Study Skills, 10th Edition",0073533319,9780073533315,28.75,3.99,2,34.74
Transforming the School Counseling Profession (5th Edition) (Merrill Counseling),0134610598,9780134610597,112.79,3.99,2,118.78
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897,123.14,0,2,125.14
"Fundamentals of Neural Networks: Architectures, Algorithms And Applications",0133341860,9780133341867,12.27,5.99,2,20.26
Counseling Strategies that Work! Evidence-based Interventions for School Counselors,0205445586,9780205445585,65.0,3.99,2,70.99
Musical Theatre: A Workbook,1137331623,9781137331625,28.03,3.99,2,34.02
Ultimate Spanish Beginner-Intermediate (Coursebook) (Ultimate Beginner-Intermediate),1400009618,9781400009619,5.56,7.49,2,15.05
"Troika: A Communicative Approach to Russian Language, Life, and Culture (Russian Edition)",0470646322,9780470646328,97.9,3.99,2,103.89
"Connections II [text + workbook], Textbook & Workbook: A Cognitive Approach to Intermediate Chinese (Chinese in Context Language Learning Series)",0253216656,9780253216656,21.6,3.99,2,27.59
The Fashion Industry and Its Careers: An Introduction,1628923415,9781628923414,35.19,4.34,2,41.53
Under Pressure: Cooking Sous Vide (The Thomas Keller Library),1579653510,8601200635027,25.96,3.99,2,31.95
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,81.51,3.99,2,87.5
Career Achievement: Growing Your Goals,0077831888,9780077831882,24.44,3.99,2,30.43
Foundations for Clinical Mental Health Counseling: An Introduction to the Profession (3rd Edition),0134384776,9780134384771,59.0,0,2,61.0
Substance Abuse and Addiction Treatment: Practical Application of Counseling Theory,013254265X,9780132542654,65.0,3.99,2,70.99
Español En Vivo Level 1: Instructional Spanish Workbook for Grades 4-8 (Español En Vivo Instructional Spanish Workbooks) (Volume 1),1492259489,9781492259480,12.0,3.99,2,17.99
"Brief Intervention for School Problems, Second Edition: Outcome-Informed Strategies (The Guilford School Practitioner Series)",1606239309,9781606239308,15.73,3.99,2,21.72
"Integrated Korean: Beginning 2, 2nd Edition (KLEAR Textbooks in Korean Language) (English and Korean Edition)",0824835158,9780824835156,6.18,3.99,2,12.17
Computer Networks (5th Edition),0132126958,8601300091266,84.81,3.99,2,90.8
"Business Data Communications- Infrastructure, Networking and Security (7th Edition)",0133023893,9780133023893,91.77,4.49,2,98.26
Interviewing as Qualitative Research: A Guide for Researchers in Education and the Social Sciences,0807754048,0880795049022,22.09,3.98,2,28.07
Crisis and Trauma: Developmental-Ecological Intervention (Crisis Intervention),0618373713,9780618373710,46.08,4.49,2,52.57
"Red, White, and Black (6th Edition)",0205692370,2900205692377,25.02,3.99,2,31.01
"The Use of Data in School Counseling: Hatching Results for Students, Programs, and the Profession",1452290253,9781452290256,22.95,0,2,24.95
Wireless Sensor Networks: From Theory to Applications,1466518103,9781466518100,90.74,0,2,92.74
Elementary Linear Programming with Applications (Computer Science and Scientific Computing),012417910X,9780124179103,31.03,3.99,2,37.02
Data Communications and Networking,0073376221,8601400052488,104.52,3.99,2,110.51
"Introduction to PLCs, Second Edition",1594603316,9781594603310,37.71,3.99,2,43.7
"At Risk Youth, 5th Edition",0840028598,9780840028594,17.71,3.99,2,23.7
How to Write a Master′s Thesis,1452203512,9781452203515,32.09,3.99,2,38.08
The Relativity of Deviance,1483377342,9781483377346,31.51,3.99,2,37.5
The Handbook for School Safety and Security: Best Practices and Procedures,0128005688,9780128005682,48.25,3.99,2,54.24
"Suicide: Theory, Practice and Investigation",1412910102,9781412910101,61.07,3.99,2,67.06
Management by Menu,0471413194,9780471413196,4.0,3.99,2,9.99
School Counselors as Educational Leaders (School Counseling),0618567933,9780618567935,54.81,3.99,2,60.8
Essential Topics for the Helping Professional,020541401X,9780205414017,39.42,3.99,2,45.41
Business Data Communications and Networking,1118891686,9781118891681,51.4,5.09,2,58.49
"Managing Suicidal Risk, First Edition: A Collaborative Approach",1593853270,9781593853273,17.72,3.99,2,23.71
"Suicide: Foucault, History and Truth",0521130018,9780521112543,31.24,3.99,2,37.23
Colonial North America and the Atlantic World: A History in Documents,0132342375,9780132342377,29.95,3.99,2,35.94
On Course Study Skills Plus Edition (MindTap Course List),1305397487,9781305397484,66.45,3.95,2,72.4
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),039916524X,9780399165245,8.48,3.99,2,14.47
Why People Die by Suicide,0674025490,9780674025493,8.38,3.99,2,14.37
The Suicidal Patient: Clinical and Legal Standards of Care,1433813254,9781433813252,28.14,0,2,30.14
Crisis Intervention: A Handbook of Immediate Person-To-Person Help,0398081069,9780398081065,50.0,3.99,2,55.99
Principles of Electronics,0130344060,9780130344069,37.56,6.09,2,45.65
Dvorák: Cello Concerto (Cambridge Music Handbooks),0521669030,9780521669030,34.8,3.99,2,40.79
"Workbook: for Harmonic Practice in Tonal Music, Second Edition",039397667X,9780393976670,2.04,3.99,2,8.03
Tonal Harmony,0078025141,9780078025143,42.0,6.12,2,50.12
The Personal Training Sales Education Textbook: A simple and effective sales system designed specifically for the personal trainer in the health club.,1463567235,9781463567231,15.79,26.99,2,44.78
Milady Standard Esthetics: Advanced (MindTap Course List),1111139091,9781111139094,50.0,3.99,2,55.99
Harmony in Context,0073137944,9780073137940,75.64,3.99,2,81.63
Flash: The Human Race,1401222390,9781401222390,22.06,3.99,2,28.05
Therapeutic Modalities,0803625936,9780803625938,47.62,3.99,2,53.61
Children Moving: A Reflective Approach to Teaching Physical Education,0073376450,9780073376455,6.08,4.99,2,13.07
Wound Management: Principles and Practices (3rd Edition),0131395246,9780131395244,69.99,3.99,2,75.98
The Stand: The Night Has Come,0785136452,9780785136453,12.95,3.99,2,18.94
AAP Developmental and Behavioral Pediatrics,1581102747,9781581102741,24.5,3.99,2,30.49
"An Arkansas History for Young People, Fourth Edition",1557288453,9781557288455,35.92,3.99,2,41.91
Developmental Psychology: Revisiting the Classic Studies,0857027581,9780857027580,22.0,3.99,2,27.99
Milady Standard Cosmetology 2012 (Milady's Standard Cosmetology),1439059306,9781439059302,9.31,4.49,2,15.8
"Washington Journey, The: New 7th Grade Textbook",1423606221,9781423606222,52.62,3.99,2,58.61
Milady Standard Nail Technology (MindTap Course List),1285080475,9781285080475,42.96,4.88,2,49.84
"Developmental Science: An Advanced Textbook, Sixth Edition",1848728719,9781848728714,9.99,3.99,2,15.98
Interdisciplinary Learning Through Dance:101 Moventures,0736046429,9780736046428,23.95,3.99,2,29.94
Exam Review for Milady Standard Esthetics: Fundamentals,1111306923,9781111306922,45.97,3.99,2,51.96
Milady's Standard Esthetics: Advanced,1428319751,9781428319752,9.2,4.49,2,15.69
The Dynamics of Fashion: Studio Access Card,1609015002,9781609015008,32.4,3.99,2,38.39
Milady's Aesthetician Series: Lasers and Light Therapy,1428399631,9781428399631,45.1,0,2,47.1
Atlas of Human Anatomy: with Student Consult Access (Netter Basic Science),1416059512,9781416059516,29.84,6.77,2,38.61
Madman Volume 1 (v. 1),1582408106,9781582408101,4.99,3.98,2,10.97
What People Wore When: A Complete Illustrated History of Costume from Ancient Times to the Nineteenth Century for Every Level of Society,0312383215,9780312383213,14.0,5.97,2,21.97
An Introduction to Developmental Psychology (BPS Textbooks in Psychology),1118767209,9781118767207,55.97,0,2,57.97
Skin Care: Beyond The Basics,1435487451,9781435487451,48.2,3.99,2,54.19
"Parks and Plates: The Geology of Our National Parks, Monuments, and Seashores",0393924076,9780393924077,57.23,3.99,2,63.22
Tonal Harmony: With an Introduction to Twentieth Century Music,0073401358,9780073401355,10.28,3.99,2,16.27
The Illustrated Network: How TCP/IP Works in a Modern Network (The Morgan Kaufmann Series in Networking),0123745411,9780123745415,17.67,3.99,2,23.66
Mississippi: A History,1118755901,9781118755907,31.12,3.99,2,37.11
"Modern World History: Patterns of Interaction, California Edition",0618557156,9780618557158,16.98,3.99,2,22.97
SMART! Sports Medicine Assessment and Review Textbook: Expert Consult - Online and Print,1437702864,0001437702864,69.99,3.99,2,75.98
"Networking Self-Teaching Guide: OSI, TCP/IP, LANs, MANs, WANs, Implementation, Management, and Maintenance",0470402385,9780470402382,48.48,4.99,2,55.47
Transgender 101: A Simple Guide to a Complex Issue,0231157134,9780231157131,9.16,3.99,2,15.15
Lean IT: Enabling and Sustaining Your Lean Transformation,1439817561,9781439817568,13.05,3.99,2,19.04
Netter's Sports Medicine (Netter Clinical Science),0323395910,9780323395915,83.87,3.99,2,89.86
Runaways: The Complete Collection Volume 1,0785185585,8601404873355,5.32,3.99,2,11.31
"Delmar's Standard Textbook of Electricity, 5th Edition",1111539154,9781111539153,42.49,5.52,2,50.01
Concise Introduction to Tonal Harmony,0393264769,9780393264760,97.5,3.99,2,103.49
Physical Activity Interventions in Children and Adolescents,0736051325,9780736051323,6.63,3.97,2,12.6
"The Visible Self: Global Perspectives on Dress, Culture and Society",1609018702,9781609018702,60.7,3.99,2,66.69
Deadpool Classic Volume 10,0785190465,9780785190462,14.9,3.99,2,20.89
"A History of New Mexico, 4th Revised Edition",0826347843,9780826347848,36.63,0,2,38.63
The Development of Children,1429243287,0783324843736,21.94,0,2,23.94
Dance Anatomy and Kinesiology-2nd Edition With Web Resource,1450469280,9781450469289,37.96,3.99,2,43.95
Lives Across Cultures: Cross-Cultural Human Development (5th Edition),0205841740,9780205841745,30.25,3.99,2,36.24
In Fashion: Studio Instant Access,1609012224,9781609012229,4.54,0,2,6.54
Milady's Standard Esthetics: Fundamentals,1428318925,9781428318922,9.52,3.99,2,15.51
Examination of Orthopedic and Athletic Injuries,0803617208,9780803617209,5.0,3.99,2,10.99
Understanding Child Abuse and Neglect (9th Edition),020539969X,9780205399697,81.3,0,2,83.3
"Of the People: A History of the United States, Volume 1: To 1877, with Sources",0190254882,9780190254889,34.44,3.99,2,40.43
Hair Structure and Chemistry Simplified,1428335587,9781428335585,55.65,0,2,57.65
"Game Sense: Pedagogy for Performance, Participation and Enjoyment (Routledge Studies in Physical Education and Youth Sport)",0415532884,9780415532884,39.83,3.99,2,45.82
Survey of Historic Costume,1628921676,9781628921670,58.5,4.98,2,65.48
Strategic Sport Communication 2nd Edition,1492525774,9781492525776,35.99,3.99,2,41.98
Delmar's Standard Textbook of Electricity (MindTap Course List),1285852702,9781285852706,108.25,6.87,2,117.12
Strength and Conditioning for Young Athletes: Science and application,0415694892,9780415694896,34.95,3.99,2,40.94
Computer Organization and Design RISC-V Edition: The Hardware Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design),0128122757,9780128122754,60.0,3.99,2,65.99
"Glencoe Life Science, Student Edition",007877800X,9780078778001,14.89,3.99,2,20.88
Geometry for Enjoyment and Challenge,0866099654,9780866099653,8.49,3.99,2,14.48
CHEMISTRY 2012 STUDENT EDITION (HARD COVER) GRADE 11,0132525763,9780132525763,73.15,3.99,2,79.14
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294,38.12,3.99,2,44.11
Product Design and Development (Irwin Marketing),0078029066,9780078029066,130.0,3.99,2,135.99
Hitler: Profiles in Power,0582437563,9780582437562,5.88,3.99,2,11.87
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503,72.4,3.99,2,78.39
Atlas of African-American History (Facts on File Library of American History),0816067147,9780816067145,1.5,3.99,2,7.49
Successful Coaching-4th Edition,1450400515,9781450400510,14.7,3.99,2,20.69
Critical Thinking,1259690873,9781259690877,70.0,3.99,2,75.99
Aida in Full Score (Dover Music Scores),0486261727,9780486261720,13.99,4.5,2,20.49
Assessment for Crisis Intervention: A Triage Assessment Model,053436232X,9780534362324,14.78,3.99,2,20.77
"The Origins of the Federal Republic: Jurisdictional Controversies in the United States, 1775-1787",0812211677,9780812211672,16.0,4.49,2,22.49
Wellness Counseling (The Merrill Counseling Series),0132330520,9780132330527,33.0,3.99,2,38.99
Abraham in Arms: War and Gender in Colonial New England (Early American Studies),0812219619,9780812219616,5.25,3.98,2,11.23
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317,18.57,3.99,2,24.56
Disrupting the School-to-Prison Pipeline (HER Reprint Series),0916690547,9780916690540,24.36,3.99,2,30.35
That Ever Loyal Island: Staten Island and the American Revolution,0814767664,9780814767665,21.8,3.99,2,27.79
Anthology of Renaissance Music: Western Europe 1400-1600 (The Norton Introduction to Music History),0393971708,9780393971705,38.66,4.49,2,45.15
"Math in Focus: The Singapore Approach: Grade 5, Student Book B",0669010804,9780669010800,5.42,3.99,2,11.41
The Oxford Book of Carols: Music edition,0193533154,9780193533158,1.99,3.99,2,7.98
"Project Managing E-Learning: A Handbook for Successful Design, Delivery and Management",0415772206,9780415772204,36.35,3.99,2,42.34
Gustav Mahler: Symphonies Nos. 1 and 2 in Full Score,0486254739,9780486254739,7.53,3.99,2,13.52
"COM Programming by Example: Using MFC, ActiveX, ATL, ADO, and COM+",1929629036,9781929629039,14.2,3.99,2,20.19
Reading Contemporary Picturebooks: Picturing Text,0415208874,9780415208871,45.06,3.99,2,51.05
Thinking Critically About Ethical Issues,0073535907,9780073535906,25.44,3.99,2,31.43
Die Walkure in Full Score,0486235661,0800759235667,13.5,6.17,2,21.67
"Suicide Assessment and Treatment, Second Edition: Empirical and Evidence-Based Practices",0826135145,9780826135148,55.5,3.89,2,61.39
Substance Abuse Counseling: Theory and Practice (4th Edition),0132409038,9780132409032,5.49,0,2,7.49
Harmonic Function in Chromatic Music: A Renewed Dualist Theory and an Account of Its Precedents,0226318095,9780226318097,57.92,5.07,2,64.99
"Essential Dazzler, Vol. 1 (Marvel Essentials) (v. 1)",0785126953,9780785126959,17.95,3.99,2,23.94
"Rapsodie Espagnole, Mother Goose Suite, and Pavane for a Dead Princess in Full Score (Dover Music Scores)",0486418995,9780486418995,3.8,5.99,2,11.79
Choral Music: A Norton Historical Anthology,0393090620,9780393090628,24.29,3.99,2,30.28
Building a Therapeutic Alliance With the Suicidal Patient,1433809079,9781433809071,26.51,0,2,28.51
Therapeutic Exercise: From Theory to Practice,0803613644,9780803613645,50.82,3.99,2,56.81
"Special Events: Creating and Sustaining a New World for Celebration, (7th Edition)",111862677X,8601411202698,29.99,3.99,2,35.98
Milady's Aesthetician Series: Microdermabrasion,1435438655,9781435438651,25.95,3.99,2,31.94
American Ballads and Folk Songs (Dover Books on Music),0486282767,0800759282760,5.47,3.99,2,11.46
The American Revolution Reader (Routledge Readers in History),0415537576,9780415537575,15.21,3.99,2,21.2
American Indian Life Skills Development Curriculum,0299149242,9780299149246,17.6,3.99,2,23.59
An Inspector Calls (Heinemann Plays For 14-16+),0435232827,8601300267968,4.82,3.99,2,10.81
Hospitality Financial Managment,0130482870,9780130482877,43.08,3.99,2,49.07
Food and Beverage Cost Control,1118988493,9781118988497,53.3,3.99,2,59.29
Shackelford's Surgery of the Alimentary Tract - 2 Volume Set: Expert Consult - Online and Print,1437722067,9781437722062,195.85,3.99,2,201.84
"Developing Fieldwork Skills: A Guide for Human Services, Counseling, and Social Work Students",0534346545,9780534346546,10.0,5.32,2,17.32
"Career Counseling: A Holistic Approach, 8th Edition (Graduate Career Counseling)",0840034350,9780840034359,31.49,3.99,2,37.48
"Of the People: A History of the United States, Volume 1: To 1877",0190254866,9780190254865,32.85,3.99,2,38.84
"The Sagebrush State, 4th Ed: Nevada’s History, Government, and Politics (Shepperson Series in Nevada History)",0874179238,9780874179231,14.97,3.99,2,20.96
Advanced Harmony: Theory and Practice (5th Edition),0130833398,9780130833396,15.05,3.99,2,21.04
"Workbook: Harmony and Voice Leading, Volume 1",0155062263,9780155062269,20.33,0,2,22.33
The Mind's Machine,1605352764,9781605352763,70.29,3.95,2,76.24
Developing Person Through Childhood and Adolescence,1319058132,9781319058135,170.4,3.99,2,176.39
Essentials of Services Marketing (2nd Edition),9810686188,9789810686185,5.03,5.94,2,12.97
Existential and Spiritual Issues in Death Attitudes,0805852727,9780805852721,45.99,3.99,2,51.98
Harmony and Voice Leading,0155062425,9780155062429,22.46,4.49,2,28.95
"New X-Men, Vol. 1",0785132511,8601300485522,11.15,3.94,2,17.09
Democracy in California: Politics and Government in the Golden State,1442247533,9781442247536,15.95,3.99,2,21.94
Survey of Athletic Injuries for Exercise Science,1449648436,9781449648435,43.12,4.49,2,49.61
House of M: No More Mutants,0785138838,9780785138839,40.0,3.99,2,45.99
Justice: What's the Right Thing to Do?,0374532508,9780374532505,3.69,3.99,2,9.68
"American Horizons: U.S. History in a Global Context, Volume I: To 1877, with Sources",0199389330,9780199389339,24.9,6.97,2,33.87
Developmental Psychology (Critical Thinking in Psychology Series),0857252763,9780857252760,17.6,3.99,2,23.59
Cultural Diversity in Health and Illness (9th Edition),0134413318,9780134413310,47.99,3.99,2,53.98
