title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958,3.5,3.99,2,9.49
DeGarmo's Materials and Processes in Manufacturing,0470924675,8601400071953,N/A,N/A,N/A,N/A
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158,5.58,3.99,2,11.57
Electric Motors and Control Systems,0073521825,8580000596632,7.96,3.99,2,13.95
Understanding Motor Controls,1305498127,9781305498129,103.0,3.99,2,108.99
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,80.98,3.99,2,86.97
Silverthorn (Turtleback School & Library Binding Edition) (Riftwar Saga),0613293452,9780613293457,9.92,3.99,2,15.91
Electric Motor Control,1133702813,9781133702818,45.5,3.99,2,51.49
Electrical Motor Controls for Integrated Systems,0826912265,9780826912268,77.08,3.99,2,83.07
How to Think About Weird Things: Critical Thinking for a New Age,007353577X,9780073535777,N/A,N/A,N/A,N/A
Tonal Harmony,125944709X,9781259447099,133.0,3.99,2,138.99
The Godwins: The Rise and Fall of a Noble Dynasty,0582784409,9780582784406,9.99,3.99,2,15.98
Electric Motors and Control Systems,0073373818,9780073373812,89.99,3.99,2,95.98
Transforming the School Counseling Profession (5th Edition) (Merrill Counseling),0134610598,9780134610597,104.98,3.99,2,110.97
"Delmar's Standard Textbook of Electricity, 4th Edition",1418065803,9781418065805,14.95,3.99,2,20.94
How to Think About Weird Things: Critical Thinking for a New Age,0078038367,9780078038365,39.92,3.99,2,45.91
Behavior Modification: What It Is and How To Do It,0205992102,9780205992102,N/A,N/A,N/A,N/A
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767,16.6,3.99,2,22.59
"Workbook: for Harmonic Practice in Tonal Music, Second Edition",039397667X,9780393976670,2.04,3.99,2,8.03
"Electrical Control for Machines, 6E",0766861988,9780766861985,11.88,3.99,2,17.87
Colonial North America and the Atlantic World: A History in Documents,0132342375,9780132342377,N/A,N/A,N/A,N/A
"The America's Test Kitchen Quick Family Cookbook: A Faster, Smarter Way to Cook Everything from America's Most Trusted Test Kitchen",1933615990,9781933615998,10.0,3.99,2,15.99
Ms. Marvel Volume 1: No Normal,078519021X,8601421073080,3.98,3.99,2,9.97
Industrial Motor Control,1133691803,9781133691808,79.39,3.99,2,85.38
Designing: An Introduction,1609014960,9781609014964,99.98,3.99,2,105.97
Genki: An Integrated Course in Elementary Japanese Workbook I [Second Edition] (Japanese Edition) (Japanese and English Edition),478901441X,9784789014410,N/A,N/A,N/A,N/A
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317,22.01,3.99,2,28.0
The Fashion Industry and Its Careers: An Introduction,1628923415,9781628923414,35.19,3.99,2,41.18
"The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African, Written by Himself (Norton Critical Editions)",0393974944,8601416937908,2.66,3.99,2,8.65
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711,12.08,3.99,2,18.07
Massey Ferguson Shop Manual Models  MF362 365 375 383 390+,0872885208,9780872885202,34.21,3.99,2,40.2
Queen of Scots: The True Life of Mary Stuart,0618619178,0046442619172,5.31,3.99,2,11.3
Anne Hutchinson: Puritan Prophet (Library of American Biography),0321476212,9780321476210,6.26,3.99,2,12.25
"Integrated Korean: Beginning 1, 2nd Edition (Klear Textbooks in Korean Language)",0824834402,0783324852189,17.22,3.99,2,23.21
Lean IT: Enabling and Sustaining Your Lean Transformation,1439817561,9781439817568,N/A,N/A,N/A,N/A
Edmund Burke: Volume II: 1784-1797,0199541531,9780199541539,19.11,3.99,2,25.1
Food for Fifty: 9th edition,0024103411,0000024103411,3.8,3.99,2,9.79
ASE Transit Bus Technician Certification H6: Electrical/Electronic Systems (Ase Test Preparation),1418049999,9781418049997,18.07,3.99,2,24.06
"It's All for the Kids: Gender, Families, and Youth Sports",0520257103,0884566083222,15.52,3.99,2,21.51
Deadpool Classic Volume 10,0785190465,9780785190462,N/A,N/A,N/A,N/A
School Counseling for the 21st Century (5th Edition),0131890379,9780131890374,5.53,3.99,2,11.52
Interior Design: A Critical Introduction,1847883125,9781847883124,87.8,3.99,2,93.79
Electricity for the Trades,0073134317,9780073134314,74.99,3.99,2,80.98
Beyond Feelings: A Guide to Critical Thinking,0078038189,0000078038189,41.69,3.99,2,47.68
The Routledge Queer Studies Reader (Routledge Literature Readers),0415564115,9780415564113,36.33,3.99,2,42.32
"Red, White and Black (7th Edition)",0205887597,9780205887590,57.71,3.99,2,63.7
Schenker Guide: A Brief Handbook and Website for Schenkerian Analysis,0415973988,9780415973984,32.27,3.99,2,38.26
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294,40.88,3.99,2,46.87
Social and Personality Development,0495600385,9780495600381,41.78,3.99,2,47.77
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897,119.03,3.99,2,125.02
Critical Thinking,1259690873,9781259690877,93.58,3.99,2,99.57
Essential Topics for the Helping Professional,020541401X,9780205414017,41.28,3.99,2,47.27
Ultimate Questions: Thinking about Philosophy (3rd Edition),020573197X,9780205731978,48.71,3.99,2,54.7
"Red, White, and Black (6th Edition)",0205692370,2900205692377,28.99,3.99,2,34.98
Furniture in History: 3000 B.C. - 2000 A.D (2nd Edition),0132447282,9780132447287,84.58,3.99,2,90.57
THiNK,007803843X,9780078038433,10.28,3.99,2,16.27
Reading Contemporary Picturebooks: Picturing Text,0415208874,9780415208871,N/A,N/A,N/A,N/A
In the Dust of This Planet: Horror of Philosophy (Volume 1),184694676X,9781846946769,6.48,3.99,2,12.47
"Hotel, Restaurant, and Travel Law, 7th Edition",1418051918,9781418051914,13.49,3.99,2,19.48
Critical Thinking: A Student's Introduction,0078038316,9781259074035,64.25,3.99,2,70.24
Exploring Creation With Chemistry,1932012265,9781932012262,38.69,3.99,2,44.68
"Integrated Chinese: Level 2, Part 1 (Simplified and Traditional Character) Textbook (Chinese Edition) (Chinese and English Edition)",0887276792,9780887276798,33.58,3.99,2,39.57
Modern Chemistry: Student Edition 2012,0547586639,9780547586632,66.99,3.99,2,72.98
Counseling the Culturally Diverse: Theory and Practice,1118022025,9781118022023,15.33,3.99,2,21.32
Essentials of Life-Span Development,1259708799,9781259708794,98.3,3.99,2,104.29
World of Chemistry,0618562753,9780618562756,26.0,3.99,2,31.99
Glencoe Chemistry: Matter and Change,0078964059,9780078964053,75.39,3.99,2,81.38
Queer Theory and the Jewish Question (Between Men-Between Women: Lesbian and Gay Studies),0231113757,8580000295290,24.2,3.99,2,30.19
"Symbol, Pattern and Symmetry: The Cultural Significance of Structure",1472503120,9781472503121,5.92,3.99,2,11.91
Comprehensive Textbook of Suicidology,157230541X,9781572305410,N/A,N/A,N/A,N/A
The Picture of Dorian Gray (Norton Critical Edition),0393927547,9780719546686,8.99,3.99,2,14.98
"Bosnian, Croatian, Serbian, a Textbook: With Exercises and Basic Grammar",0299236544,9780299236540,29.0,3.99,2,34.99
Sustainable Thinking: Ethical Approaches to Design and Design Management (Required Reading Range),2940496048,9782940496044,24.49,3.99,2,30.48
The Cybernetic Brain: Sketches of Another Future,0226667901,9780226667904,30.68,3.99,2,36.67
Tonal Harmony: With an Introduction to Twentieth Century Music,0073401358,9780073401355,10.18,3.99,2,16.17
Mary Tudor: Old and New Perspectives,0230004636,9780230004634,32.09,3.99,2,38.08
Social Psychology: Goals in Interaction (6th Edition),0133810186,9780133810189,94.78,3.99,2,100.77
Geometry for Enjoyment and Challenge,0866099654,9780866099653,N/A,N/A,N/A,N/A
CliffsNotes on Malory's Le Morte D'Arthur (The Death of Arthur),0822007266,0785555010529,N/A,N/A,N/A,N/A
Runaways: The Complete Collection Volume 1,0785185585,8601404873355,5.13,3.99,2,11.12
Aristotle (The Routledge Philosophers),0415622492,9780415622493,30.58,3.99,2,36.57
Aproximaciones al estudio de la literatura hispánica,0073385379,9780073385372,41.28,3.99,2,47.27
"Chemistry: The Central Science, AP Edition",0132175088,9780132175081,N/A,N/A,N/A,N/A
The Illustrated Network: How TCP/IP Works in a Modern Network (The Morgan Kaufmann Series in Networking),0123745411,9780123745415,17.67,3.99,2,23.66
The Stand: The Night Has Come,0785136452,9780785136453,12.95,3.99,2,18.94
The Native Ground: Indians and Colonists in the Heart of the Continent (Early American Studies),0812219392,9780812219395,17.98,3.99,2,23.97
Atlas of Human Anatomy: with Student Consult Access (Netter Basic Science),1416059512,9781416059516,32.39,3.99,2,38.38
Thinking Critically About Ethical Issues,0078119057,9780078119057,40.55,3.99,2,46.54
Physical Activity Interventions in Children and Adolescents,0736051325,9780736051323,6.07,3.99,2,12.06
"Game Sense: Pedagogy for Performance, Participation and Enjoyment (Routledge Studies in Physical Education and Youth Sport)",0415532884,9780415532884,39.83,3.99,2,45.82
An Introduction to the History of Psychology (PSY 310 History and Systems of Psychology),0495506214,9780495506218,12.98,3.99,2,18.97
Huck's Raft: A History of American Childhood,0674019989,9780674019980,12.56,3.99,2,18.55
Interdisciplinary Learning Through Dance:101 Moventures,0736046429,9780736046428,27.54,3.99,2,33.53
"Industrial Motor Control, 6th Edition",1435442393,9781435442399,16.4,3.99,2,22.39
The Great Awakening: A Brief History with Documents (Bedford Series in History and Culture),031245225X,9780312452254,12.78,3.99,2,18.77
Resorts: Management and Operation,1118071824,9781118071823,48.98,3.99,2,54.97
"Critical Thinking, Ninth Edition",0073386677,9780073386676,3.38,3.99,2,9.37
"Children's Literature, Briefly (5th Edition)",0132480565,0000132480565,18.05,3.99,2,24.04
Guide to UNIX Using Linux (Networking (Course Technology)),1418837237,9781418837235,32.52,3.99,2,38.51
Critical Thinking,0078038286,9780078038280,14.01,3.99,2,20.0
Macbeth (Second Edition)  (Norton Critical Editions),0393923266,9780393923261,8.71,3.99,2,14.7
Computer Organization and Design RISC-V Edition: The Hardware Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design),0128122757,9780128122754,59.99,3.99,2,65.98
Hakluyts Promise: An Elizabethan's Obsession for an English America,0300110545,9780300110548,N/A,N/A,N/A,N/A
"Taking Sides: Clashing Views in United States History, Volume 2: Reconstruction to the Present (Taking Sides. Clashing Views in United States History)",1259677583,9781259677588,45.55,3.99,2,51.54
Madman Volume 1 (v. 1),1582408106,9781582408101,4.85,3.99,2,10.84
McDougal Littell Middle School Science: Student Edition Grades 6-8 Chemical Interactions 2005,0618334386,9780618334384,1.99,3.99,2,7.98
Dvorák: Cello Concerto (Cambridge Music Handbooks),0521669030,9780521669030,34.76,3.99,2,40.75
Cambridge International AS and A Level Chemistry Coursebook with CD-ROM (Cambridge International Examinations),1107638453,9781107638457,16.79,3.99,2,22.78
Living Ethics,1111186510,9781111186517,70.95,3.99,2,76.94
"Serving Military Families: Theories, Research, and Application (Textbooks in Family Studies)",1138841250,9781138841253,39.29,3.99,2,45.28
Inhuman Traffick: The International Struggle against the Transatlantic Slave Trade: A Graphic History (Graphic History Series),0199334072,9780199334070,9.76,3.99,2,15.75
"Introduction to PLCs, Second Edition",1594603316,9781594603310,37.71,3.99,2,43.7
Welcome to Church Music & The Hymnal 1982,0819229423,9780819229427,20.2,3.99,2,26.19
Material World: A Global Family Portrait,0871564300,9780871564306,8.33,3.99,2,14.32
"Substance Abuse: Information for School Counselors, Social Workers, Therapists and Counselors (5th Edition)",0132613247,9780132613248,9.58,3.99,2,15.57
Marvel's Agents of S.H.I.E.L.D.: Season One Declassified Slipcase,078518998X,9780785189985,18.91,3.99,2,24.9
"The Love of David and Jonathan: Ideology, Text, Reception (BibleWorld)",1845536754,9781845536756,70.08,3.99,2,76.07
"Yookoso! An Invitation to Contemporary Japanese, Third Edition",0072408154,9780072408157,63.97,3.99,2,69.96
Integrated Chinese: Level 2 Part 2 Textbook (Chinese Edition) (Chinese and English Edition),0887276881,8601405078261,43.5,3.99,2,49.49
Professional Management of Housekeeping Operations,047176244X,9780471762447,27.63,3.99,2,33.62
Event Risk Management and Safety,0471401684,9780471401681,13.52,3.99,2,19.51
Graphic Design: A New History,0300172605,0884898151897,32.91,3.99,2,38.9
Shackelford's Surgery of the Alimentary Tract - 2 Volume Set: Expert Consult - Online and Print,1437722067,9781437722062,N/A,N/A,N/A,N/A
Designing the Physical Education Curriculum: Promoting Active Lifestyles,0767410084,9780767410083,32.82,3.99,2,38.81
Do the Right Thing: Readings in Applied Ethics and Social Philosophy,0534543359,9780534543358,20.65,3.99,2,26.64
Children Moving: A Reflective Approach to Teaching Physical Education,0073376450,9780073376455,5.94,3.99,2,11.93
Electric Machines and Drives,1118074815,9781118074817,36.1,3.99,2,42.09
"Glencoe Biology, Student Edition (BIOLOGY DYNAMICS OF LIFE)",0078802849,9780078802843,9.6,3.99,2,15.59
"New X-Men, Vol. 1",0785132511,8601300485522,N/A,N/A,N/A,N/A
A Topical Approach to Lifespan Development,1259708780,9781259708787,N/A,N/A,N/A,N/A
Thinking Critically About Ethical Issues,0073535907,9780073535906,9.98,3.99,2,15.97
Lewis's Child and Adolescent Psychiatry: A Comprehensive Textbook,1496345495,9781496345493,177.6,3.99,2,183.59
Concise Introduction to Tonal Harmony,0393264769,9780393264760,97.5,3.99,2,103.49
Atlas of African-American History (Facts on File Library of American History),0816067147,9780816067145,2.29,3.99,2,8.28
"Networking Self-Teaching Guide: OSI, TCP/IP, LANs, MANs, WANs, Implementation, Management, and Maintenance",0470402385,9780470402382,48.11,3.99,2,54.1
Interior Design Materials and Specifications: Studio Instant Access,1501317598,9781501317590,N/A,N/A,N/A,N/A
The Wine Bible,0761180834,9780761180838,23.09,3.99,2,29.08
"William Wordsworth and the Invention of Tourism, 1820-1900",1472420136,9781472420138,N/A,N/A,N/A,N/A
Ethical Issues in Professional Life,0195050266,9780195050264,34.95,3.99,2,40.94
"Workbook: Harmony and Voice Leading, Volume 1",0155062263,9780155062269,20.31,3.99,2,26.3
Ultimate Spanish Beginner-Intermediate (Coursebook) (Ultimate Beginner-Intermediate),1400009618,9781400009619,12.59,3.99,2,18.58
"Meetings, Expositions, Events and Conventions: An Introduction to the Industry (4th Edition)",0133815242,9780133815245,N/A,N/A,N/A,N/A
A Complete French Grammar for Reference and Practice,0761849718,9780761849711,35.83,3.99,2,41.82
"Computer Vision: Principles, Algorithms, Applications, Learning",012809284X,9780128092842,N/A,N/A,N/A,N/A
"An Arkansas History for Young People, Fourth Edition",1557288453,9781557288455,24.0,3.99,2,29.99
"Practical Guide to Patternmaking for Fashion Designers: Juniors, Misses and Women",1563673282,9781563673283,51.99,3.99,2,57.98
"Music, Travel, and Imperial Encounter in 19th-Century France: Musical Apprehensions (Routledge Studies in Ethnomusicology)",1138777994,9781138777996,95.38,3.99,2,101.37
Applied Behavior Analysis,067520223X,9780675202237,14.81,3.99,2,20.8
A Farther Shore: Ireland's Long Road to Peace,0375760121,9780375760129,2.67,3.99,2,8.66
Network+ Guide to Networks (MindTap Course List),1305090942,9781305090941,N/A,N/A,N/A,N/A
Cambridge IGCSE Biology 3rd Edition,1444176463,9781444176469,44.66,3.99,2,50.65
The Oxford Book of Carols: Music edition,0193533154,9780193533158,1.99,3.99,2,7.98
"Living Language French, Essential Edition: Beginner course, including coursebook, 3 audio CDs, and free online learning",0307478424,9780307478429,N/A,N/A,N/A,N/A
"Ralph Tailor's Summer: A Scrivener, His City and the Plague",0300174470,9780300174472,5.49,3.99,2,11.48
Organic Chemistry,0840054440,9780840054449,N/A,N/A,N/A,N/A
Lives Across Cultures: Cross-Cultural Human Development (5th Edition),0205841740,9780205841745,N/A,N/A,N/A,N/A
Doing Ethics: Moral Reasoning and Contemporary Issues (Fourth Edition),0393265412,9780393265415,44.23,3.99,2,50.22
The Growth Of Logical Thinking From Childhood To Adolescence: AN ESSAY ON THE CONSTRUCTION OF FORMAL OPERATIONAL STRUCTURES (International Library of Psychology),0415864445,9780415864442,42.99,3.99,2,48.98
Introduction to World Philosophy: A Multicultural Reader,019515231X,9780195152319,40.68,3.99,2,46.67
The Sociology of Religion,0807042056,0046442042055,2.85,3.99,2,8.84
"Philosophical Problems: An Annotated Anthology, Reprint (2nd Edition)",020563947X,9780205639472,58.68,3.99,2,64.67
Sport Public Relations - 2nd Edition: Managing Stakeholder Communication,073609038X,9780736090384,N/A,N/A,N/A,N/A
I'm Here - Compassionate Communication in Patient Care,097200002X,9780972000024,5.99,3.99,2,11.98
Biology,013036701X,9780130367013,3.99,3.99,2,9.98
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503,70.92,3.99,2,76.91
Fundamentals of Communications and Networking (Jones & Bartlett Learning Information Systems Security & Assurance),1284060144,9781284060140,N/A,N/A,N/A,N/A
Selling Destinations,142832142X,9781428321427,N/A,N/A,N/A,N/A
Java Network Programming,1449357679,9781449357672,N/A,N/A,N/A,N/A
Prentice-Hall Biology,0131662554,9780131662551,7.0,3.99,2,12.99
Milady Standard Esthetics: Fundamentals (MindTap Course List),1111306893,9781111306892,95.0,3.99,2,100.99
History of Interior Design,1118403517,9781118403518,76.22,3.99,2,82.21
Punto y aparte (Spanish) Standalone Book,0078037050,9780078037054,54.99,3.99,2,60.98
Nietzsche: Beyond Good and Evil: Prelude to a Philosophy of the Future (Cambridge Texts in the History of Philosophy),0521779138,8601420432710,14.35,3.99,2,20.34
Multicultural Psychology: Understanding Our Diverse Communities,0190460857,9780190460853,48.51,3.99,2,54.5
Architecture and Interior Design: An Integrated History to the Present (Fashion Series),0135093570,9780135093573,129.87,3.99,2,135.86
The Quiet American (Penguin Classics Deluxe Edition),0143039024,9780143039020,30.94,3.99,2,36.93
The First Prejudice: Religious Tolerance and Intolerance in Early America (Early American Studies),0812223144,9780812223149,24.91,3.99,2,30.9
Merry Christmas Songbook: Over 100 Holiday Classics (Book & CD),0762108681,9780762108688,N/A,N/A,N/A,N/A
"Essential Dazzler, Vol. 1 (Marvel Essentials) (v. 1)",0785126953,9780785126959,17.95,3.99,2,23.94
Introduction to Working with Adult Survivors of Childhood Trauma: Techniques and Strategies (Mental Health Practice),0495006181,9780495006183,N/A,N/A,N/A,N/A
Ven Conmigo!: Holt Spanish Level 1 (Spanish Edition)[BOOK ONLY],0030565898,9780030565892,7.94,3.99,2,13.93
Understanding Child Abuse and Neglect (9th Edition),020539969X,9780205399697,82.65,3.99,2,88.64
On Cooking: A Textbook of Culinary Fundamentals (6th Edition) (What's New in Culinary & Hospitality),0134441907,9780134441900,135.86,3.99,2,141.85
Progressive Sight Singing,0195178475,9780195178470,N/A,N/A,N/A,N/A
Personality Psychology: Domains of Knowledge About Human Nature,1259870499,9781259870491,118.11,3.99,2,124.1
Interiors,0073526509,9780073526508,92.54,3.99,2,98.53
Thinking Critically (Available Titles Aplia),0495908819,9780495908814,N/A,N/A,N/A,N/A
Telesa: The Covenant Keeper,1466253711,9781466253711,10.82,3.99,2,16.81
Revit Architecture 2018 for Designers,1501327704,9781501327704,77.6,3.99,2,83.59
YA VERAS GOLD L1-STUDENT TEXTBOOK 1999C,0838485545,9780838485545,5.49,3.99,2,11.48
Strategic Sport Communication 2nd Edition,1492525774,9781492525776,34.0,3.99,2,39.99
Social Psychology (MindTap Course List),1305580222,9781305580220,77.27,3.99,2,83.26
Flash: The Human Race,1401222390,9781401222390,22.01,3.99,2,28.0
"Troika: A Communicative Approach to Russian Language, Life, and Culture (Russian Edition)",0470646322,9780470646328,99.99,3.99,2,105.98
"Taking Sides: Clashing Views in United States History, Volume 2: Reconstruction to the Present (Taking Sides: United States History, Volume 2)",0078050464,9780078050466,9.9,3.99,2,15.89
Space Planning Basics,1118882008,9781118882009,35.78,3.99,2,41.77
The Professional Personal Chef: The Business of Doing Business as a Personal Chef (Book only),0471752193,9780471752196,19.98,3.99,2,25.97
Military Ethics: An Introduction with Case Studies,0199846294,9780199846290,39.99,3.99,2,45.98
"Red, White, and Black: The Peoples of Early North America (5th Edition)",013193550X,9780131935501,N/A,N/A,N/A,N/A
Popular World Music,013612898X,9780136128984,N/A,N/A,N/A,N/A
Rock and Roll: Its History and Stylistic Development (7th Edition),0205246974,9780205246977,45.34,3.99,2,51.33
In My Power: Letter Writing and Communications in Early America (Early American Studies),0812221818,9780812221817,N/A,N/A,N/A,N/A
Networking Essentials: A CompTIA Network+ N10-007 Textbook (5th Edition) (Pearson IT Cybersecurity Curriculum (ITCC)),0789758741,9780789758743,56.99,3.99,2,62.98
Strength and Conditioning for Young Athletes: Science and application,0415694892,9780415694896,34.12,3.99,2,40.11
"Biology, 8th Edition",0321543254,9780321543257,10.86,3.99,2,16.85
Complete Biology for Cambridge Secondary 1 Student Book: For Cambridge Checkpoint and beyond (CIE Checkpoint),0198390211,0000198390211,25.2,3.99,2,31.19
Barron's IB Math Studies,1438003358,9781438003351,5.74,3.99,2,11.73
Contemporary Sport Management 6th Edition With Web Study Guide,1492550957,9781492550952,119.3,3.99,2,125.29
El mismo mar de todos los veranos (Compactos Anagrama) (Spanish Edition),8433920197,9788433920195,5.75,3.99,2,11.74
"Piazza (with iLrn Heinle Learning Center, 4 terms (24 months) Printed Access Card) (World Languages)",1285074815,9781285074818,37.1,3.99,2,43.09
"The Complete Idiot's Guide to Learning German, 4E",1615643141,9781615643141,N/A,N/A,N/A,N/A
Ultimate Italian Advanced (Book) (Ultimate Advanced),1400020646,9781400020645,N/A,N/A,N/A,N/A
"Living Language Korean, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, Korean reading & writing guide, and free online learning",0307972232,9780307972231,22.51,3.99,2,28.5
Major Problems in American Colonial History (Major Problems in American History Series),0495912999,9780495912996,49.15,3.99,2,55.14
"The Architecture Of Light (2nd Edition): A textbook of procedures and practices for the Architect, Interior Designer and Lighting Designer.",0980061717,9780980061710,45.08,3.99,2,51.07
Dulcan's Textbook of Child and Adolescent Psychiatry,1585623237,9781585623235,N/A,N/A,N/A,N/A
"School Psychology for the 21st Century, Second Edition: Foundations and Practices",1609187520,9781609187521,N/A,N/A,N/A,N/A
An Introduction to Developmental Psychology (BPS Textbooks in Psychology),1118767209,9781118767207,55.97,3.99,2,61.96
Developmental Psychology: Revisiting the Classic Studies,0857027581,9780857027580,21.0,3.99,2,26.99
Second Thoughts: Critical Thinking for a Diverse Society,0073386707,9780073386706,59.95,3.99,2,65.94
Why People Die by Suicide,0674025490,9780674025493,8.37,3.99,2,14.36
Elementary Information Security,1284055930,9781284055931,64.9,3.99,2,70.89
Cisco LAN Switching Fundamentals,1587050897,0619472050897,39.98,3.99,2,45.97
Managing Sports Events,0736096116,9780736096119,36.95,3.99,2,42.94
Biology: The Dynamics Of Life (Teacher Wraparound Edition),0078298997,9780078298998,3.79,3.99,2,9.78
Close-Range Photogrammetry and 3D Imaging (de Gruyter Textbook),3110302691,9783110302691,60.12,3.99,2,66.11
Sacred Places: Sites of Spiritual Pilgrimage from Stonehenge to Santiago de Compostela,1847242405,9781847242402,11.49,3.99,2,17.48
Kaplan and Sadock's Concise Textbook of Child and Adolescent Psychiatry,0781793874,8580000823974,N/A,N/A,N/A,N/A
Dracula (Norton Critical Editions),0393970124,9780393970128,4.84,3.99,2,10.83
Child Maltreatment: An Introduction (Volume 3),1452205795,9781452205793,74.21,3.99,2,80.2
Uzbek: An Elementary Textbook (Uzbek Edition),1589017064,9781589017061,47.92,3.99,2,53.91
"Planning an Applied Research Project in Hospitality, Tourism, and Sports",1118637224,9781118637227,23.86,3.99,2,29.85
Guide to Networking Essentials,1305105435,9781305105430,65.99,3.99,2,71.98
DESIGNING AND DRAWING TESSELLATIONS,0980219132,9780980219135,N/A,N/A,N/A,N/A
Managing Suicide Risk in Primary Care,0826110711,9780826110718,45.0,3.99,2,50.99
"The Architecture of Computer Hardware, Systems Software, and Networking: An Information Technology Approach",1118322630,9781118322635,44.42,3.99,2,50.41
"Bioethics: Principles, Issues, and Cases",0190250100,9780190250102,58.56,3.99,2,64.55
Junos Enterprise Routing: A Practical Guide to Junos Routing and Certification,1449398634,9781449398637,44.65,3.99,2,50.64
Building the Bonds of Attachment: Awakening Love in Deeply Traumatized Children,1442274131,9781442274136,37.6,3.99,2,43.59
Violence and Maltreatment in Intimate Relationships,1506323812,9781506323817,57.74,3.99,2,63.73
"Revolution in Virginia, with a new Foreword",0879352337,9780879352332,15.22,3.99,2,21.21
Child Abuse and Culture: Working with Diverse Families,1593856431,9781593856434,17.64,3.99,2,23.63
Who Needs a Road?: The Story of the Longest and Last Motor Journey Around the World,0964252155,9780964252158,2.98,3.99,2,8.97
Cambridge International AS and A Level Biology Coursebook with CD-ROM (Cambridge International Examinations),1107636825,9781107636828,32.41,3.99,2,38.4
Contemporary Sport Management-5th Edition With Web Study Guide,1450469655,9781450469654,21.96,3.99,2,27.95
Introduction to Logic,0205820379,9780205820375,24.31,3.99,2,30.3
"Developmental Science: An Advanced Textbook, Sixth Edition",1848728719,9781848728714,9.99,3.99,2,15.98
Beginnings of Interior Environments (11th Edition) (Fashion Series),0132786001,9780132786003,100.0,3.99,2,105.99
American Popular Music,0199859116,9780199859115,16.2,3.99,2,22.19
Meal Service Study Course,0813827639,9780813827636,N/A,N/A,N/A,N/A
"A History of New Mexico, 4th Revised Edition",0826347843,9780826347848,33.11,3.99,2,39.1
