title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Reading Contemporary Picturebooks: Picturing Text,0415208874,9780415208871,47.89,3.99,2,53.88
Atlas of Human Anatomy: with Student Consult Access (Netter Basic Science),1416059512,9781416059516,32.39,3.99,2,38.38
Runaways: The Complete Collection Volume 1,0785185585,8601404873355,5.13,3.99,2,11.12
The Oxford Book of Carols: Music edition,0193533154,9780193533158,1.99,3.99,2,7.98
Welcome to Church Music & The Hymnal 1982,0819229423,9780819229427,20.2,3.99,2,26.19
Interdisciplinary Learning Through Dance:101 Moventures,0736046429,9780736046428,27.54,3.99,2,33.53
Macbeth (Second Edition)  (Norton Critical Editions),0393923266,9780393923261,8.71,3.99,2,14.7
Thinking Critically About Ethical Issues,0073535907,9780073535906,9.98,3.99,2,15.97
Architecture and Interior Design: An Integrated History to the Present (Fashion Series),0135093570,9780135093573,129.87,3.99,2,135.86
"Red, White, and Black (6th Edition)",0205692370,2900205692377,28.99,3.99,2,34.98
Computer Organization and Design RISC-V Edition: The Hardware Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design),0128122757,9780128122754,59.99,3.99,2,65.98
The Growth Of Logical Thinking From Childhood To Adolescence: AN ESSAY ON THE CONSTRUCTION OF FORMAL OPERATIONAL STRUCTURES (International Library of Psychology),0415864445,9780415864442,42.99,3.99,2,48.98
Material World: A Global Family Portrait,0871564300,9780871564306,8.33,3.99,2,14.32
The Cybernetic Brain: Sketches of Another Future,0226667901,9780226667904,30.68,3.99,2,36.67
Comprehensive Textbook of Suicidology,157230541X,9781572305410,21.6,3.99,2,27.59
"Practical Guide to Patternmaking for Fashion Designers: Juniors, Misses and Women",1563673282,9781563673283,51.99,3.99,2,57.98
The Great Awakening: A Brief History with Documents (Bedford Series in History and Culture),031245225X,9780312452254,12.78,3.99,2,18.77
Guide to UNIX Using Linux (Networking (Course Technology)),1418837237,9781418837235,32.52,3.99,2,38.51
Lewis's Child and Adolescent Psychiatry: A Comprehensive Textbook,1496345495,9781496345493,177.6,3.99,2,183.59
Rock and Roll: Its History and Stylistic Development (7th Edition),0205246974,9780205246977,45.34,3.99,2,51.33
Multicultural Psychology: Understanding Our Diverse Communities,0190460857,9780190460853,N/A,N/A,N/A,N/A
"Essential Dazzler, Vol. 1 (Marvel Essentials) (v. 1)",0785126953,9780785126959,N/A,N/A,N/A,N/A
El mismo mar de todos los veranos (Compactos Anagrama) (Spanish Edition),8433920197,9788433920195,N/A,N/A,N/A,N/A
Geometry for Enjoyment and Challenge,0866099654,9780866099653,12.99,3.99,2,18.98
"Workbook: Harmony and Voice Leading, Volume 1",0155062263,9780155062269,20.31,3.99,2,26.3
The Sociology of Religion,0807042056,0046442042055,2.85,3.99,2,8.84
Dvorák: Cello Concerto (Cambridge Music Handbooks),0521669030,9780521669030,34.76,3.99,2,40.75
"Substance Abuse: Information for School Counselors, Social Workers, Therapists and Counselors (5th Edition)",0132613247,9780132613248,9.58,3.99,2,15.57
Complete Biology for Cambridge Secondary 1 Student Book: For Cambridge Checkpoint and beyond (CIE Checkpoint),0198390211,0000198390211,25.2,3.99,2,31.19
CliffsNotes on Malory's Le Morte D'Arthur (The Death of Arthur),0822007266,0785555010529,5.05,3.99,2,11.04
Close-Range Photogrammetry and 3D Imaging (de Gruyter Textbook),3110302691,9783110302691,60.12,3.99,2,66.11
Introduction to World Philosophy: A Multicultural Reader,019515231X,9780195152319,40.68,3.99,2,46.67
Electricity for the Trades,0073134317,9780073134314,74.99,3.99,2,80.98
"Electrical Machines, Drives and Power Systems (6th Edition)",0131776916,9780131776913,99.0,3.99,2,104.99
Biology,013036701X,9780130367013,3.99,3.99,2,9.98
Huck's Raft: A History of American Childhood,0674019989,9780674019980,12.56,3.99,2,18.55
Personality Psychology: Domains of Knowledge About Human Nature,1259870499,9781259870491,118.11,3.99,2,124.1
Prentice-Hall Biology,0131662554,9780131662551,7.0,3.99,2,12.99
"Taking Sides: Clashing Views in United States History, Volume 2: Reconstruction to the Present (Taking Sides: United States History, Volume 2)",0078050464,9780078050466,5.92,3.99,2,11.91
Sport Marketing 4th Edition With Web Study Guide,1450424988,9781450424981,N/A,N/A,N/A,N/A
Transforming the School Counseling Profession (5th Edition) (Merrill Counseling),0134610598,9780134610597,104.98,3.99,2,110.97
"Living Language French, Essential Edition: Beginner course, including coursebook, 3 audio CDs, and free online learning",0307478424,9780307478429,N/A,N/A,N/A,N/A
Resorts: Management and Operation,1118071824,9781118071823,48.98,3.99,2,54.97
Cambridge IGCSE Biology 3rd Edition,1444176463,9781444176469,44.66,3.99,2,50.65
Applied Behavior Analysis,067520223X,9780675202237,14.81,3.99,2,20.8
Social Psychology (MindTap Course List),1305580222,9781305580220,77.27,3.99,2,83.26
History of Interior Design,1118403517,9781118403518,76.22,3.99,2,82.21
A Topical Approach to Lifespan Development,1259708780,9781259708787,158.95,3.99,2,164.94
Cambridge International AS and A Level Biology Coursebook with CD-ROM (Cambridge International Examinations),1107636825,9781107636828,32.41,3.99,2,38.4
Violence and Maltreatment in Intimate Relationships,1506323812,9781506323817,N/A,N/A,N/A,N/A
"Computer Vision: Principles, Algorithms, Applications, Learning",012809284X,9780128092842,82.11,3.99,2,88.1
"An Arkansas History for Young People, Fourth Edition",1557288453,9781557288455,24.0,3.99,2,29.99
The Professional Personal Chef: The Business of Doing Business as a Personal Chef (Book only),0471752193,9780471752196,19.98,3.99,2,25.97
Uzbek: An Elementary Textbook (Uzbek Edition),1589017064,9781589017061,47.92,3.99,2,53.91
Milady Standard Esthetics: Fundamentals (MindTap Course List),1111306893,9781111306892,95.0,3.99,2,100.99
Introduction to Working with Adult Survivors of Childhood Trauma: Techniques and Strategies (Mental Health Practice),0495006181,9780495006183,N/A,N/A,N/A,N/A
YA VERAS GOLD L1-STUDENT TEXTBOOK 1999C,0838485545,9780838485545,5.49,3.99,2,11.48
"Greek: An Intensive Course, 2nd Revised Edition",0823216632,9780823216635,21.34,3.99,2,27.33
"Childhood Victimization: Violence, Crime, and Abuse in the Lives of Young People (Interpersonal Violence)",0195342852,9780195342857,N/A,N/A,N/A,N/A
"Piazza (with iLrn Heinle Learning Center, 4 terms (24 months) Printed Access Card) (World Languages)",1285074815,9781285074818,37.1,3.99,2,43.09
Major Problems in American Colonial History (Major Problems in American History Series),0495912999,9780495912996,49.15,3.99,2,55.14
Atlas of African-American History (Facts on File Library of American History),0816067147,9780816067145,2.29,3.99,2,8.28
Lives Across Cultures: Cross-Cultural Human Development (5th Edition),0205841740,9780205841745,33.0,3.99,2,38.99
"William Wordsworth and the Invention of Tourism, 1820-1900",1472420136,9781472420138,77.0,3.99,2,82.99
Biology: The Dynamics Of Life (Teacher Wraparound Edition),0078298997,9780078298998,3.79,3.99,2,9.78
Guide to Networking Essentials,1305105435,9781305105430,65.99,3.99,2,71.98
"Developmental Science: An Advanced Textbook, Sixth Edition",1848728719,9781848728714,9.99,3.99,2,15.98
CHEMISTRY 2012 STUDENT EDITION (HARD COVER) GRADE 11,0132525763,9780132525763,73.95,3.99,2,79.94
"Philosophical Problems: An Annotated Anthology, Reprint (2nd Edition)",020563947X,9780205639472,58.68,3.99,2,64.67
"Major Problems in the Era of the American Revolution, 1760-1791: Documents and Essays (Major Problems in American History Series)",0395903440,9780395903445,N/A,N/A,N/A,N/A
Telesa: The Covenant Keeper,1466253711,9781466253711,10.82,3.99,2,16.81
The Blessings of Liberty: A Concise History of the Constitution of the United States,1442259922,9781442259928,N/A,N/A,N/A,N/A
Contemporary Sport Management 6th Edition With Web Study Guide,1492550957,9781492550952,119.3,3.99,2,125.29
Cambridge International AS and A Level Chemistry Coursebook with CD-ROM (Cambridge International Examinations),1107638453,9781107638457,16.79,3.99,2,22.78
Shackelford's Surgery of the Alimentary Tract - 2 Volume Set: Expert Consult - Online and Print,1437722067,9781437722062,199.82,3.99,2,205.81
Ethics: Theory and Contemporary Issues,0538452838,9780538452830,18.0,3.99,2,23.99
"The Architecture of Computer Hardware, Systems Software, and Networking: An Information Technology Approach",1118322630,9781118322635,44.42,3.99,2,50.41
Nietzsche: Beyond Good and Evil: Prelude to a Philosophy of the Future (Cambridge Texts in the History of Philosophy),0521779138,8601420432710,14.35,3.99,2,20.34
Flash: The Human Race,1401222390,9781401222390,22.01,3.99,2,28.0
Merry Christmas Songbook: Over 100 Holiday Classics (Book & CD),0762108681,9780762108688,12.75,3.99,2,18.74
Sport Public Relations - 2nd Edition: Managing Stakeholder Communication,073609038X,9780736090384,31.78,3.99,2,37.77
Beginnings of Interior Environments (11th Edition) (Fashion Series),0132786001,9780132786003,100.0,3.99,2,105.99
Ven Conmigo!: Holt Spanish Level 1 (Spanish Edition)[BOOK ONLY],0030565898,9780030565892,7.94,3.99,2,13.93
Revit Architecture 2018 for Designers,1501327704,9781501327704,77.6,3.99,2,83.59
"Meetings, Expositions, Events and Conventions: An Introduction to the Industry (4th Edition)",0133815242,9780133815245,44.81,3.99,2,50.8
Military Ethics: An Introduction with Case Studies,0199846294,9780199846290,39.99,3.99,2,45.98
Elementary Information Security,1284055930,9781284055931,64.9,3.99,2,70.89
Sacred Places: Sites of Spiritual Pilgrimage from Stonehenge to Santiago de Compostela,1847242405,9781847242402,11.49,3.99,2,17.48
Hakluyts Promise: An Elizabethan's Obsession for an English America,0300110545,9780300110548,2.25,3.99,2,8.24
"Troika: A Communicative Approach to Russian Language, Life, and Culture (Russian Edition)",0470646322,9780470646328,99.99,3.99,2,105.98
Space Planning Basics,1118882008,9781118882009,35.78,3.99,2,41.77
Second Thoughts: Critical Thinking for a Diverse Society,0073386707,9780073386706,59.95,3.99,2,65.94
Java Network Programming,1449357679,9781449357672,18.46,3.99,2,24.45
An Introduction to Developmental Psychology (BPS Textbooks in Psychology),1118767209,9781118767207,55.97,3.99,2,61.96
Junos Enterprise Routing: A Practical Guide to Junos Routing and Certification,1449398634,9781449398637,44.65,3.99,2,50.64
I'm Here - Compassionate Communication in Patient Care,097200002X,9780972000024,5.99,3.99,2,11.98
Fundamentals of Communications and Networking (Jones & Bartlett Learning Information Systems Security & Assurance),1284060144,9781284060140,47.98,3.99,2,53.97
Contemporary Sport Management-5th Edition With Web Study Guide,1450469655,9781450469654,21.96,3.99,2,27.95
Cisco LAN Switching Fundamentals,1587050897,0619472050897,39.98,3.99,2,45.97
"Bioethics: Principles, Issues, and Cases",0190250100,9780190250102,58.56,3.99,2,64.55
Ultimate Italian Advanced (Book) (Ultimate Advanced),1400020646,9781400020645,N/A,N/A,N/A,N/A
Dracula (Norton Critical Editions),0393970124,9780393970128,4.84,3.99,2,10.83
"New X-Men, Vol. 1",0785132511,8601300485522,5.02,3.99,2,11.01
Popular World Music,013612898X,9780136128984,17.0,3.99,2,22.99
Songs of Praise: Songs of Praise: Words edition,0192312014,9780192312013,7.31,3.99,2,13.3
"Child Abuse and Neglect: Attachment, Development and Intervention",1403948267,9781403948267,38.91,3.99,2,44.9
I Could Sing of Your Love Forever (Praise Baby Board Book),1400070465,9781400070466,223.2,3.99,2,229.19
Managing Sports Events,0736096116,9780736096119,36.95,3.99,2,42.94
"Ralph Tailor's Summer: A Scrivener, His City and the Plague",0300174470,9780300174472,5.49,3.99,2,11.48
Food for Fifty (12th Edition),0131138715,9780131138711,17.15,3.99,2,23.14
Introduction to Logic,0205820379,9780205820375,24.31,3.99,2,30.3
Organic Chemistry,0840054440,9780840054449,13.09,3.99,2,19.08
Ultimate Russian Advanced (Coursebook) (Ultimate Advanced),1400020700,9781400020706,N/A,N/A,N/A,N/A
Child Abuse and Culture: Working with Diverse Families,1593856431,9781593856434,17.64,3.99,2,23.63
Introduction to Housing,0131190423,9780131190429,5.62,3.99,2,11.61
American Popular Music,0073526576,9780073526577,40.0,3.99,2,45.99
"Biology, 8th Edition",0321543254,9780321543257,10.86,3.99,2,16.85
"The Architecture Of Light (2nd Edition): A textbook of procedures and practices for the Architect, Interior Designer and Lighting Designer.",0980061717,9780980061710,45.08,3.99,2,51.07
"The Revolutionary Era, 1789-1850 (The Norton History of Modern Europe)",0393978605,9780393978605,14.99,3.99,2,20.98
"Glencoe Biology, Student Edition (BIOLOGY DYNAMICS OF LIFE)",0078802849,9780078802843,9.6,3.99,2,15.59
Network Management: Principles and Practices (2nd Edition),8131734048,9788131734049,81.66,3.99,2,87.65
Repair for Kids: A Children's Program for Recovery from Incest and Childhood Sexual Abuse,1932690573,9781932690576,9.03,3.99,2,15.02
In My Power: Letter Writing and Communications in Early America (Early American Studies),0812221818,9780812221817,8.99,3.99,2,14.98
A Farther Shore: Ireland's Long Road to Peace,0375760121,9780375760129,2.67,3.99,2,8.66
Case Studies in Special Education Law: No Child Left Behind Act and Individuals with Disabilities Education Improvement Act,0132186284,8581000048503,20.52,3.99,2,26.51
"Revolution in Virginia, with a new Foreword",0879352337,9780879352332,15.22,3.99,2,21.21
Selling Destinations,142832142X,9781428321427,48.99,3.99,2,54.98
"Introduction to PLCs, Second Edition",1594603316,9781594603310,37.71,3.99,2,43.7
