title,isbn10,isbn13
The Wolves at the Door: The True Story of America's Greatest Female Spy,159228762X,9781592287628
Edward II: The Unconventional King,1445641208,9781445641201
The Trade Technician’s Soft Skills Manual,1111313814,9781111313814
Refrigeration: A Residential and Light Commercial Text & Lab Book,1418005606,9781418005603
HVACR 401: Heat Pumps,1428340025,9781428340022
Troubleshooting and Servicing Air Conditioning Equipment,0912524561,9780912524566
Deculturalization and the Struggle for Equality: A Brief History of the Education of Dominated Cultures in the United States,0078024366,9780078024368
Fundamentals of Electric Circuits,0073380571,9780073380575
"Electrical Level 1 Trainee Guide 2008 NEC, Paperback",0136044603,9780136044604
Introduction to Electricity,0135040876,9780135040874
Technical Sourcebook for Designers: Studio Access Card,1609018567,9781609018566
Concepts of Pattern Grading: Techniques for Manual and Computer Grading,1563672103,9781563672101
Embedded C Programming: Techniques and Applications of C and PIC MCUS,0128013141,9780128013144
"Palliative Care for Infants, Children, and Adolescents: A Practical Handbook",1421401495,9781421401492
"Developing Skills in Algebra One, Book B",0866512225,9780866512220
GO! All in One: Computer Concepts and Applications (3rd Edition) (GO! for Office 2016 Series),0134505743,9780134505749
"The Architecture of Computer Hardware, Systems Software, & Networking: An Information Technology Approach",0471715425,9780471715429
CompTIA Network+ N10-006 Exam Cram (5th Edition),078975410X,8601422003895
Computer Networking: A Top-Down Approach (5th Edition),0136079679,9780136079675
Applied Networking Labs (2nd Edition),0133545180,9780133545180
Computer Networks and Internets (6th Edition),0133587932,9780133587937
Guide to TCP/IP: IPv6 and IPv4 (MindTap Course List),1305946952,9781305946958
Network Security: Private Communication in a Public World (2nd Edition),0130460192,9780130460196
Attacking Faulty Reasoning,1133049982,9781133049982
The Structure of Argument,0312650698,9780312650698
The Logic of Scientific Discovery (Routledge Classics) (Volume 56),0415278449,9780415278447
Proof and Disproof in Formal Logic: An Introduction for Programmers (Oxford Texts in Logic),0198530277,9780198530275
Think with Socrates: An Introduction to Critical Thinking,0199331863,9780199331864
Queering the Pitch: The New Gay and Lesbian Musicology,041597884X,9780415978842
The History of Gay People in Alcoholics Anonymous: From the Beginning (Haworth Series in Family and Consumer Issues in Health),078903039X,9780789030399
Introducing the New Sexuality Studies,1138902942,9781138902947
"Butch Queens Up in Pumps: Gender, Performance, and Ballroom Culture in Detroit (Triangulations: Lesbian/Gay/Queer Theater/Drama/Performance)",0472051962,9780472051960
"Woman-to-Woman Sexual Violence: Does She Call It Rape? (Northeastern Series on Gender, Crime, and Law)",1555535275,9781555535278
The Laramie Project,0375727191,9780375727191
The Sacco and Vanzetti Case: A Brief History with Documents (The Bedford Series in History and Culture),0312400888,9780312400880
"Making a New Deal: Industrial Workers in Chicago, 1919-1939 (Canto Classics)",1107431794,9781107431799
Festival and Special Event Management,1742164617,9781742164618
Discovering Hospitality and Tourism: The World's Greatest Industry (2nd Edition),0131591991,9780131591998
"This is Service Design Thinking: Basics, Tools, Cases",1118156307,9781118156308
"Restaurant Management: Customers, Operations, and Employees (3rd Edition)",0131136909,9780131136908
"Advanced Professional Skin Care, Medical Edition",0963021133,9780963021137
Risk Management for Meetings and Events (Events Management),0750680571,9780750680578
"Revealing Architectural Design: Methods, Frameworks and Tools",0415639026,9780415639026
Photoshop for Interior Designers: A Nonverbal Communication,1609015444,9781609015442
Interior Design and Decoration,0131944045,9780131944046
Drafting and Visual Presentation for Interior Designers (Fashion Series),013506421X,9780135064214
Basics Interior Architecture 02: Context & Environment,294037371X,9782940373710
Sustainability in Interior Design (Portfolio Skills: Interior Design),1856698149,9781856698146
Careers in Interior Design,1563677164,9781563677168
"The Physics of Vibrations and Waves, 6th Edition",047001296X,9780470012963
Electrolyte Solutions: Second Revised Edition (Dover Books on Chemistry),0486422259,0800759422258
"Subjects unto the Same King: Indians, English, and the Contest for Authority in Colonial New England (Early American Studies)",0812219082,9780812219081
"Dreams and the Invisible World in Colonial New England: Indians, Colonists, and the Seventeenth Century",0812246357,9780812246353
A Nation of Women: Gender and Colonial Encounters Among the Delaware Indians (Early American Studies),0812222059,9780812222050
Abraham in Arms: War and Gender in Colonial New England (Early American Studies),0812219619,9780812219616
The Eighteenth Century: Europe 1688-1815 (Short Oxford History of Europe),0198731205,9780198731207
The Lord of the Rings and The Hobbit (Cliffs Notes),0822012863,9780822012863
CNA Exam Flashcard Study System: CNA Test Practice Questions & Review for the Certified Nurse Assistant Exam (Cards),160971430X,9781609714307
TABE Flashcard Study System: TABE Exam Practice Questions & Review for the Test of Adult Basic Education (Cards),1610728866,9781610728867
Praxis II Business Education: Content Knowledge (5101) Exam Flashcard Study System: Praxis II Test Practice Questions & Review for the Praxis II: Subject Assessments (Cards),1614037000,9781614037002
Certified Management Accountant Exam Flashcard Study System: CMA Test Practice Questions & Review for the Certified Management Accountant Exam (Cards),160971413X,9781609714130
Flashcard Study System for the General Chairside Assisting Exam: DANB Test Practice Questions & Review for the General Chairside Assisting Exam (Cards),1609716116,9781609716110
Prentice Hall Biology,0131155563,9780131155565
Cells & Cell Function (Life Science in Depth),0431109036,9780431109039
The Cambridge Revision Guide: GCE O Level Biology (Cambridge International Examinations),0521648467,9780521648462
Prentice Hall Science Explorer: Human Biology and Health,013190258X,9780131902589
Group Dynamics in Recreation and Leisure: Creating Conscious Groups Through an Experiential Approach,0736062874,8580000744491
"Park and Recreation Professional's Handbook With Online Resource, The",073608259X,9780736082594
Problem Solving Tools and Techniques for the Park and Recreation Administrator,1571675043,9781571675040
Torkildsen's Sport and Leisure Management,0415497930,9780415497930
Key Concepts in Event Management (SAGE Key Concepts series),1849205604,9781849205603
Strategic Recreation Management,0415783631,9780415783637
"Cognition and Suicide: Theory, Research, and Therapy",1591473578,9781591473572
Depression in Japan: Psychiatric Cures for a Society in Distress,069114205X,9780691142050
Adolescent Suicide: Assessment and Intervention (2nd Edition),1591471931,9781591471936
"Breaking the Bonds of Adult Child Abuse: A Biblical Textbook on Abusive Narcissistic Families, How They Operate, and How to Deal with Them",1432766562,9781432766566
The Long Journey Home: Understanding and Ministering to the Sexually Abused,1608993957,9781608993956
Seasons of Hope Participant Journal One,1594711127,9781594711121
Wireless Communications & Networking (The Morgan Kaufmann Series in Networking),0123735807,9780123735805
"Network Design: A Process for Designing and Managing Data Networks, Release 8.0",1586761617,9781586761615
MCTS Windows SharePoint Services 3.0 Configuration Study Guide: Exam 70-631,0470449314,9780470449318
"McGraw-Hill's Math, Grade 7",0071748636,9780071748636
"Reading and Study Skills, 10th Edition",0073533319,9780073533315
Exploring Latin Piano: South-American/Cuban/Spanish Rhythms Intermediate Book/2cds,1847611354,0841886012530
Jazz: the Basics,0415966949,9780415966948
Athletic Taping and Bracing-3rd Edition,1450413528,9781450413527
"Science and Practice of Strength Training, Second Edition",0736056289,9780736056281
On Cooking: A Textbook of Culinary Fundamentals and 2012 MyCulinaryLab (5th Edition),0133077837,9780135101261
Hotel Operations Management (3rd Edition),013433762X,9780134337623
"Child Psychopathology, Third Edition",1462516688,9781462516681
"Rule of Experts: Egypt, Techno-Politics, Modernity",0520232623,9780520232624
"Child and Adolescent Therapy, Fourth Edition: Cognitive-Behavioral Procedures",1606235613,9781606235614
"Working with Traumatized Youth in Child Welfare (Clinical Practice with Children, Adolescents, and Families)",159385224X,9781593852245
Study Guide to Child And Adolescent Psychiatry: A Companion to the American Psychiatric Publishing Textbook of Child And Adolescent Psychiatry,1585622613,9781585622610
"Working with Adolescents: A Guide for Practitioners (Clinical Practice with Children, Adolescents, and Families)",1609180356,9781609180355
"Ordinary Families, Special Children, Third Edition: A Systems Approach to Childhood Disability",1606233173,9781606233177
The Conservation Movement: A History of Architectural Preservation: Antiquity to Modernity,0415543223,9780415543224
Foodservice Organizations: A Managerial and Systems Approach (5th Edition),0130486892,9780130486899
Schematic Wiring a Step-By-Step Guide,0912524669,9780912524665
"The Triumph of Individual Style : A Guide to Dressing Your Body, Your Beauty, Your Self",1563672693,9781563672699
Conservation of Furniture (Routledge Series in Conservation and Museology),0415657903,9780415657907
"The Long Road to Change: America's Revolution, 1750-1820",1551111101,9781551111100
"Learning to Stand and Speak: Women, Education, and Public Life in America's Republic (Published by the Omohundro Institute of Early American History ... and the University of North Carolina Press)",0807859214,9780807859216
The Diary of Elizabeth Drinker: The Life Cycle of an Eighteenth-Century Woman,0812220773,9780812220773
Dolley Madison: The Problem of National Unity (Lives of American Women),0813347599,9780813347592
Inhuman Bondage: The Rise and Fall of Slavery in the New World,0195339444,9780195339444
The American Revolution Reader (Routledge Readers in History),0415537576,9780415537575
Frequency Selective Surfaces: Theory and Design,0471370479,9780471370475
Workforce Education: The Basics,0205198341,9780205198344
Basic Electricity and DC Circuits,0790610728,9780790610726
RF Components and Circuits,0750648449,9780750648448
Applied Electricity and Electronics,1566377072,9781566377072
Kubota Shop Manual (I & T Shop Service Manuals),0872886468,9780872886469
Electric Machinery Fundamentals (McGraw-Hill Series in Electrical and Computer Engineering),0072465239,9780072465235
International Harvester Shop Manual Ih-202 (I & T Shop Service Manuals),0872883612,9780872883611
Electromechanical Energy Devices and Power Systems,0471572179,9780471572176
Industrial Power Distribution (IEEE Press Series on Power Engineering),1119063345,9781119063346
Introduction to Electric Circuits: Lab Manual,0195438140,9780195438147
The Elements of Moral Philosophy,0078038243,9780078038242
Nicomachean Ethics,0872204642,9780872204645
Criminal Justice Ethics: Theory and Practice,1506326056,9781506326054
Disputed Moral Issues: A Reader,0199946795,8601419521067
Ethics for the Professions,0155069993,9780155069992
Disputed Moral Issues: A Reader,0190490020,9780190490027
The Basics of Bioethics,0205765629,9780205765621
Medical Humanities: An Introduction,1107614171,9781107614178
Ethics: Theory and Practice (11th Edition),0205053149,9780205053148
Robocop Vs. The Terminator,1616550082,9781616550080
Workbook/Study Guide I (Lessons 1-26) to accompany Destinos: An Introduction to Spanish,0070020728,9780070020726
The Person and the Situation: Perspectives of Social Psychology,1905177445,8581085999998
Essentials of Understanding Psychology,1259531805,9781259531804
Women's Lives: A Psychological Exploration (3rd Edition),0205255639,9780205255634
Social Psychology,1506357512,9781506357515
Social Psychology: The Science of Everyday Life,0716704226,9780716704225
Introduction to Political Science,0205056814,9780205056811
Ice Cream,1461460956,9781461460954
"John Milton: Life, Work, and Thought",0199591032,0884509328779
Eleanor of Provence: Queenship in Thirteenth-Century England,0631172866,9780631172864
Generalist Case Management Workbook (SAB 125 Substance Abuse Case Management),1285173236,9781285173238
Encouraging Authenticity and Spirituality in Higher Education,0787974439,9780787974435
Demonstrating Student Success: A Practical Guide to Outcomes-Based Assessment of Learning and Development in Student Affairs,1579223052,9781579223052
Cambridge International AS and A Level Chemistry Teacher's Resource CD-ROM (Cambridge International Examinations),110767770X,9781107677708
Digital Transmission Engineering,0471694649,9780471694649
Introduction to Wind Principles,0132125331,9780132125338
Microelectronics Circuit Analysis and Design,0073380644,9780073380643
Microelectronic Circuits (The Oxford Series in Electrical and Computer Engineering) 7th edition,0199339139,9780199339136
Microelectronic Circuits (Oxford Series in Electrical & Computer Engineering),0195323033,9780195323030
"The Nursing Assistant: Acute, Subacute, and Long-Term Care with Workbook (5th Edition)",0132855151,9780132855150
"Death in the Midst of Life: Social and Cultural Influences on Death, Grief, and Mourning",0131977083,9780131977082
Logic and Contemporary Rhetoric: The Use of Reason in Everyday Life,1133942288,9781133942283
Critical Thinking: An Appeal to Reason,0415997143,9780415997140
Reason & Argument (2nd Edition),0136246028,9780136246022
"Sex For Sale: Prostitution, Pornography, and the Sex Industry",0415996058,9780415996051
"Selves, Symbols, and Sexualities: An Interactionist Anthology",145227665X,9781452276656
Transnational LGBT Activism: Working for Sexual Rights Worldwide,0816692742,9780816692743
Hospital Time,0822319209,9780822319207
"Casebook for Counseling Lesbian, Gay, Bisexual, and Transgender Persons and Their Families",1556203063,9781556203060
The Straight Mind: And Other Essays,0807079170,0046442079174
The Bridge: The Building of the Verrazano-Narrows Bridge,1620406667,9781620406663
Archaeology of the Southwest,1598746758,9781598746754
"Sam Houston and the American Southwest, 3rd Edition (Library of American Biography)",0321385721,0000387096078
Tobacco Town Futures: Global Encounters in Rural Kentucky,1577667085,9781577667087
Workbook for Halal's Hair Structure and Chemistry Simplified,1428335617,9781428335615
Fundamentals of Quality Control and Improvement (2nd Edition),0136450865,9780136450863
"Milady’s Aesthetician Series: Botox, Dysport, Dermal Fillers and Sclerotherapy",1435438647,9781435438644
The Essentials of Wine With Food Pairing Techniques,0132351722,9780132351720
Specifying Interiors: A Guide to Construction and FF&E for Residential and Commercial Interiors Projects,0471692611,9780471692614
Interior Design Illustrated,1118090713,9781118090718
Lessons From Nanoelectronics: A New Perspective On Transport (Lessons from Nanoscience: a Lecture Notes Series) (Volume 1),9814335290,9789814335294
Semiconductor Physics: An Introduction (Advanced Texts in Physics),3540219579,9783540219576
Electromagnetic Theory (Pure & Applied Physics),0070621500,9780070621503
Introduction to Electrodynamics,0134813677,9780134813677
Berkeley Physics Course: Electricity and Magnetism v. 2,0070664951,9780070664951
Electrodynamics (2Nd Edition),981434074X,9789814340748
Quantum Electrodynamics (Frontiers in Physics),0201360756,9780201360752
Political Gastronomy: Food and Authority in the English Atlantic World (Early American Studies),0812244184,9780812244182
"Henry Hudson and the Algonquins of New York: Native American Prophecy & European Discovery, 1609",1571782222,9781571782229
The Cultural Roots of American Islamicism,052161807X,9780521618076
New Insight into IELTS Student's Book with Answers (Insights),0521680891,9780521680899
Machiavelli's The Prince (Cliffs Notes),0822010933,0049086010930
EMT Basic Exam Flashcard Study System: EMT-B Test Practice Questions & Review for the National Registry of Emergency Medical Technicians (NREMT) Basic Exam (Cards),1609716701,9781609716707
The Euthanasia/Assisted-Suicide Debate (Historical Guides to Controversial Issues in America),0313341877,9780313341878
Death and Dying (Opposing Viewpoints),0737712236,9780737712230
Family Therapy and Mental Health: Innovations in Theory and Practice (Haworth Marriage and the Family),0789015897,9780789015891
Life as a Weapon: The Global Rise of Suicide Bombings,1138019836,9781138019836
Cognitive Behavioural Prevention of Suicide in Psychosis: A treatment manual,0415658705,9780415658706
Debating Euthanasia (Debating Law),1849461783,9781849461788
Taking Sides: Clashing Views in Death and Dying,0078050391,9780078050398
"Schaum's Outline of Electric Circuits, 6th edition (Schaum's Outlines)",0071830456,9780071830454
What the Best College Students Do,0674066642,9780674066649
The St. Martin's Handbook,1457667266,8601422066487
College Reading: The Science and Strategies of Expert Readers (MindTap Course List),1111350019,9781111350017
"Schaum's Outline of Electromagnetics, 4th Edition (Schaum's Outlines)",0071831479,9780071831475
Understanding Popular Music Culture,1138907855,9781138907850
Exploring Jazz Violin (Schott Pop Styles),1847612423,9781847612427
American Popular Music: From Minstrelsy to MP3,0195396308,8580000848687
"Exploring American Folk Music: Ethnic, Grassroots, and Regional Traditions in the United States (American Made Music Series)",1617032646,9781617032646
"Bards, Ballads and Boundaries: An Ethnographic Atlas of Music Traditions in West Rajasthan",1905422075,9781905422074
Principles of Athletic Training: A Competency-Based Approach,1259060780,9781259060786
ACSM's Foundations of Strength Training and Conditioning,0781782678,9780781782678
Science of Sports Training: How to Plan and Control Training for Peak Performance,0940149109,9780940149106
Athletic Training Student Primer: A Foundation for Success,1617110922,0001617110922
Evidence-Based Practice in Exercise Science: The Six-Step Approach,1450434193,0001450434193
Foodservice Organizations: A Managerial and Systems Approach (9th Edition),0134038940,9780134038940
Foundations of Lodging Management (2nd Edition),0132560895,9780132560894
Introduction to Hospitality Management (5th Edition),0134151909,9780134151908
ServSafe CourseBook with Answer Sheet (7th Edition),0134764218,9780134764214
Child & Adolescent Therapy : Science and Art,0471386375,9780471386377
Handbook of Evidence-Based Treatment Manuals for Children and Adolescents,019517741X,9780195177411
"Handbook of Attachment, Third Edition: Theory, Research, and Clinical Applications",1462525296,9781462525294
101 Ways To Suck As An HVAC Technician,1449949258,9781449949259
Helping Parents with Challenging Children Positive Family Intervention Parent Workbook (Programs That Work),0195332997,9780195332995
Management by Menu,0471413194,9780471413196
"The Origins of the Federal Republic: Jurisdictional Controversies in the United States, 1775-1787",0812211677,9780812211672
That Ever Loyal Island: Staten Island and the American Revolution,0814767664,9780814767665
Forgotten Allies: The Oneida Indians and the American Revolution,0809046008,9780809046003
America's Revolution,0199754802,9780199754809
Affairs of Honor: National Politics in the New Republic,0300097557,9780300097559
"Sex among the Rabble: An Intimate History of Gender and Power in the Age of Revolution, Philadelphia, 1730-1830 (Published by the Omohundro Institute ... and the University of North Carolina Press)",0807856754,9780807856758
"Colonies to Nation, 1763-1789: A Documentary History of the American Revolution (Vol. 2)",0393092291,9780393092295
Westward Expansion: A History of the American Frontier,0826319815,9780826319814
"Introduction to Copper Cabling: Applications for Telecommunications, Data Communications and Networking",0750655550,9780750655552
Hands-On Electronics: A Practical Introduction to Analog and Digital Circuits,0521893518,9780521893510
Control Systems,0750654619,9780750654616
"Workbook and Lab Manual for Herman's Industrial Motor Control, 7th",1133691811,9781133691815
CNC Handbook,0071799486,9780071799485
Permanent Magnet Synchronous and Brushless DC Motor Drives (Mechanical Engineering (Marcel Dekker)),0824753844,9780824753849
Condition Monitoring Using Computational Intelligence Methods: Applications in Mechanical and Electrical Systems,1447123794,9781447123798
Understanding Motor Controls,1401890164,9781401890162
Power Electronics and Motor Drives: Advances and Trends,0120884054,9780120884056
"Electrical Power: Motors, Controls, Generators, Transformers",1566373662,9781566373661
Engineering Ethics (4th Edition) (Esource),0132145219,9780132145213
Social Ethics: Morality and Social Policy,0073535885,9780073535883
Today's Moral Issues: Classic and Contemporary Perspectives,0078038219,9780078038211
"Connections II [text + workbook], Textbook & Workbook: A Cognitive Approach to Intermediate Chinese (Chinese in Context Language Learning Series)",0253216656,9780253216656
"Chez nous: Branché sur le monde francophone, Media-Enhanced Version (4th Edition)",0205933769,9780205933761
An Introduction to Japanese Linguistics,1444337734,9781444337730
"Prego! An Invitation to Italian, 8th Edition",0073386251,8601406250055
Beyond Feelings: A Guide to Critical Thinking,0073535699,9780073535692
THiNK,0078038200,9780078038204
The Treason of the Intellectuals,1412806232,9781412806237
CliffsNotes on Heilbroner's The Worldly Philosophers,0822013851,9780822013853
Six Names of Beauty,0415979927,9780415979924
Thought-Images: Frankfurt School Writers’ Reflections from Damaged Life (Cultural Memory in the Present),0804756171,9780804756174
Critique of Pure Reason: Unified Edition (with all variants from the 1781 and 1787 editions) (Hackett Classics),0872202577,9780872202573
For Marx (Radical Thinkers),184467052X,9781844670529
"The Butcher's Guide to Well-Raised Meat: How to Buy, Cut, and Cook Great Beef, Lamb, Pork, Poultry, and More",0307716627,9780307716620
The Science of Sugar Confectionery: RSC (RSC Paperbacks),0854045937,9780854045938
Hydrocolloid Applications: Gum technology in the food and other industries,0412621207,9780412621208
Magnetic Actuators and Sensors,1118505255,9781118505250
Principles of Magnetohydrodynamics: With Applications to Laboratory and Astrophysical Plasmas,0521626072,9780521626071
"Glencoe Physical iScience Modules: Electricity and Magnetism, Grade 8, Student Edition (GLEN SCI: ELECTRICITY/MAGNETIS)",0078617731,9780078617737
Workbook for Handley/Coon/Marshall's Project Lead the Way/Principles of Engineering,1435428374,9781435428379
Automatic Control Systems / Robotics Problem Solver (Problem Solvers Solution Guides),0878915427,9780878915422
Test Best ITBS: Test Workbook  Grade K (Level 5),0811428575,9780811428576
Easy English: Basic English Made Simple (ESL),140000604X,9781400006045
SS05 WORKBOOK GRADE 6 (Scott Foresmen Social Studies 2005),0328081817,9780328081813
Case Studies in Psychotherapy,1285175239,9781285175232
"Student Workbook (Case plus App) for Woodside's An Introduction to the Human Services, 8th",1285759516,9781285759517
Basic Spanish: A Grammar and Workbook (Grammar Workbooks) (English and Spanish Edition),041535501X,9780415355018
How to Get Into the Top Law Schools: Fifth Edition,0735204578,9780735204577
Human Learning (6th Edition),0132595184,9780132595186
The Comprehensive Guide to Careers in Sports,1449602037,9781449602031
One Size Does Not Fit All: Traditional and Innovative Models of Student Affairs Practice,0415843197,9780415843195
"Motivation in Education: Theory, Research, and Applications (4th Edition)",0133017524,9780133017526
Coming Alive From Nine to Five in a 24/7 World : A Career Search Handbook for the 21st Century,0072842628,9780072842623
Understanding Child Development (What’s New in Early Childhood),0495809306,9780495809302
P.O.W.E.R. Learning: Strategies for Success in College and Life,0077842154,9780077842154
Kids in the Middle: The Micro Politics of Special Education,1607098474,9781607098478
"Away from Home: American Indian Boarding School Experiences, 1879-2000",0934351627,9780934351621
Chemistry,0130645389,9780130645388
ATM Networks,0130936014,0076092010999
Electric Circuits Fundamentals (8th Edition),013507293X,9780135072936
DC Theory,1435499824,9781435499829
Electrical Pre-Apprenticeship and Workforce Development Manual,1111316899,9781111316891
Electronics Explained: The New Systems Approach to Learning Electronics,1856177009,9781856177009
Essentials for the Activity Professional in Long Term Care,0827373872,9780827373877
How to Think Logically (2nd Edition),0205154980,8601419416141
An Introduction to Formal Logic,0521008042,9780521008044
Straights: Heterosexuality in Post-Closeted Culture,0814764592,9780814764596
"Queering Bathrooms: Gender, Sexuality, and the Hygienic Imagination",1442610735,9781442610736
When The Opposite Sex Isn't: Sexual Orientation In Male-to-Female Transgender People,0789034476,9780789034472
Basics Interior Architecture 01: Form and Structure: the Organisation of Interior Space,294037340X,9782940373406
Color + Design: Transforming Interior Space,1563676028,9781563676024
McGraw-Hill Education Preparation for the TASC Test 2nd Edition: The Official Guide to the Test (Mcgraw Hill's Tasc),0071843876,9780071843874
The Complete Idiot's Guide to College Biology,1592578489,9781592578481
The Good Research Guide: for small-scale social research projects,0335241387,9780335241385
"Student Solutions Manual and Study Guide for Hornback's Organic Chemistry, 2nd",0534397107,9780534397104
Creating Safe and Supportive Schools and Fostering Students' Mental Health,0415737001,9780415737005
Supporting the Well Being of Girls: An evidence-based school programme,1138015261,9781138015265
Research Writing Simplified: A Documentation Guide (8th Edition),0321953487,9780321953483
"Motivation and Self-Regulated Learning: Theory, Research, and Applications",0805858989,9780805858983
Biology: Today and Tomorrow without Physiology,0495109185,9780495109181
"Experiencing Jazz, Second Edition: Book and Online Access to Music Pack",0415659353,9780415659352
"Women and Popular Music: Sexuality, Identity and Subjectivity",0415211905,9780415211901
New York Sings: 400 Years of the Empire State in Song (Excelsior Editions),1438426844,9781438426846
"Principles of Athletic Training: A Competency-Based Approach, 14th Edition",0073523739,9780073523736
"Strength and Conditioning for Team Sports: Sport-Specific Physical Preparation for High Performance, second edition",0415637937,9780415637930
Brukner & Khan's Clinical Sports Medicine,0070998132,9780070998131
Revenue Management for the Hospitality Industry,0470393084,9780470393086
Managerial Accounting for the Hospitality Industry,0471723371,9780471723370
Diagnostic and Behavioral Assessment in Children and Adolescents: A Clinical Guide,1462508618,9781462508617
Cultural Issues in Play Therapy,1593853807,9781593853808
Psychological Trauma and the Developing Brain: Neurologically Based Interventions for Troubled Children,0789017881,9780789017888
"Practical Problems in Mathematics for Electronic Technicians, 6E (Practical Problems In Mathematics Series)",1401825001,9781401825003
Digital Electronics: An Integrated Laboratory Approach,0130931020,9780130931023
Principles of Transistor Circuits,0750644273,9780750644273
Career Development & Planning: A Comprehensive Approach,1426631359,9781426631351
"Electric Machines: Steady State, Transients, and Design with MATLAB®",1420055720,9781420055726
"Electric Motors and Drives: Fundamentals, Types and Applications (3rd Edition)",0750647183,9780750647182
The Ethical Life: Fundamental Readings in Ethics and Moral Problems,0199997276,9780199997275
Integrated Korean Workbook: Intermediate 2 (Klear Textbooks in Korean Language) (Korean and English Edition),082483867X,9780824838676
Latin: An Intensive Course,0520031830,9780520031838
Routledge Intensive Dutch Course (Routledge Intensive Language Courses),0415261910,9780415261913
Textbook of Syrian Semitic Inscriptions: Volume 1: Hebrew and Moabite Inscriptions,0198131593,9780198131595
"Integrated Chinese: Level 1, Part 2 (Textbook: Traditional Characters) (English and Mandarin Chinese Edition)",0887276725,9780887276729
Jenney's First Year Latin,020508723X,9780205087235
The Site of the Social: A Philosophical Account of the Constitution of Social Life and Change,0271022922,9780271022925
Conversations with Gayatri Chakravorty Spivak,190542227X,9781905422272
Philosophy of Plato and Aristotle (Agora Editions),0801487161,9780801487163
Sense and Sensibilia,0195003071,9780195003079
Aesthetics and the Philosophy of Art: The Analytic Tradition: An Anthology,1405105828,9781405105828
A Case for Irony (The Tanner Lectures on Human Values),0674416880,9780674416888
Kant's 'Critique of Pure Reason': An Introduction (Cambridge Introductions to Key Philosophical Texts),0521618258,9780521618250
"Workshop Physics Activity Guide, Module 4: Electricity and Magnetism",0471641162,9780471641162
Introduction to the Theory of Ferromagnetism (International Series of Monographs on Physics),0198508093,9780198508090
LECTURE NOTES ON ELECTRON CORRELATION AND MAGNETISM (Series in Modern Condensed Matter Physics),9810224745,9789810224745
Physics of Ferromagnetism (International Series of Monographs on Physics),0199564817,9780199564811
Athenaze: An Introduction to Ancient Greek Book I,0195149564,9780195149562
Preparacion DELE. A1. Libro + CD - Ed. 2010 COLOR (Spanish Edition),8477116806,9788477116806
Music Express: Age 5-6 (Book + 3 CDs + DVD-ROM): Complete Music Scheme for Primary Class Teachers,1472900170,9781472900173
Algebra 1: All-in-One Student Workbook - Teacher's Guide,0131657275,9780131657274
"Student Workbook: Entrepreneurship: Ideas in Action, 6th",1305653106,9781305653108
The Life Span: Human Development for Helping Professionals with Enhanced Pearson eText -- Access Card Package (4th Edition),0133785645,9780133785647
BUNDLE: Hutchison: Dimensions of Human Behavior: Person and Environment + The Changing Life Course,1412988810,9781412988810
Qualitative Methods for Family Studies and Human Development,1412914035,9781412914031
Developmental Disabilities: Introduction to a Diverse Field,0205322069,9780205322060
Managing Sport Organizations: Responsibility for Performance,0415626773,9780415626774
TOCCI: DIG SYS PRIN APPS _c11 (11th Edition),0135103827,9780135103821
Electrical Level 4 Trainee Guide (9th Edition),0134738225,9780134738222
RF Microelectronics (2nd Edition) (Prentice Hall Communications Engineering and Emerging Technologies Series from Ted Rappaport),0137134738,9780137134731
The PIC Microcontroller: Your Personal Introductory Course,0750666641,9780750666640
Introduction to BioMEMS,1439818398,9781439818398
Fundamentals of Microelectronics,1118156323,9781118156322
"Microelectronic Circuit Design, 5th Edition",0073529605,9780073529608
Fundamentals of BioMEMS and Medical Microdevices,0819459771,9780819459770
Fundamentals of Microelectronics,0471478466,9780471478461
Designing Embedded Systems with PIC Microcontrollers: Principles and Applications,1856177505,9781856177504
Aging Hair,3642026354,9783642026355
EMQs for the MRCS Part A (Oxford Specialty Training: Revision Texts),0199645647,9780199645640
Dementia With Dignity,0074707523,9780074707524
Supportive care for the person with dementia,0199554137,9780199554133
Palliative Care Nursing: Quality Care to the End of Life,0826113842,9780826113849
Surviving Your Dissertation: A Comprehensive Guide to Content and Process,1412916798,9781412916790
Teaching Mathematics to All Children: Designing and Adapting Instruction to Meet the Needs of Diverse Learners (2nd Edition),0131175742,9780131175747
"Popular Music: Topics, Trends & Trajectories",1847874363,9781847874368
Jazz Theory and Practice,0882847228,9780882847221
The Art of Rock and Roll (3rd Edition),0130448923,9780130448927
Administrative Topics in Athletic Training: Concepts to Practice,1556427395,9781556427398
Quick Reference Dictionary for Athletic Training,161711068X,9781617110689
Principles of Pharmacology for Athletic Trainers,1556429010,9781556429019
Working with Children with Sexual Behavior Problems,146251197X,9781462511976
"Career Information, Career Counseling and Career Development (11th Edition) (The Merrill Counseling)",0133917770,9780133917772
"Leadership, Advocacy, and Direct Service Strategies for Professional School Counselors (School Counseling)",0534589332,9780534589332
Rasskaz-Sensatsiya (The Story Sensation): for learners of the Russian language (and not only for Guadeloupeans!) (Unconventional Russian Language Textbooks (Russian Readers)) (Russian Edition),148121621X,9781481216210
Difficultes Expliquees Du Francais for English Speakers Textbook (Intermediate/Advanced A2/B2) (English and French Edition),209033701X,9782090337013
Ideal MHD,1107006252,9781107006256
Frustrated Spin Systems,9814440736,9789814440738
Fundamentals of Magnetism,3540311505,9783540311508
